category,hemi,threshold,ctrl_mean,pt_mean,delta,p_perm,n_ctrl,n_pt,n_pt_zero
face,l,1.96,1288.0,1633.1818181818182,345.18181818181824,0.2164,38,11,0
face,l,2.33,1031.7631578947369,1337.3636363636363,305.6004784688994,0.2017,38,11,0
face,r,1.96,1887.7105263157894,1843.3,-44.41052631578941,0.9014,38,10,0
face,r,2.33,1555.5,1462.8,-92.70000000000005,0.7659,38,10,0
house,l,1.96,2575.7894736842104,2064.181818181818,-511.6076555023924,0.1144,38,11,0
house,l,2.33,2185.4473684210525,1728.6363636363637,-456.81100478468875,0.1209,38,11,0
house,r,1.96,3084.184210526316,2112.3,-971.8842105263157,0.0115,38,10,0
house,r,2.33,2668.2631578947367,1824.9,-843.3631578947366,0.017,38,10,0
object,l,1.96,4023.7631578947367,2684.7272727272725,-1339.0358851674641,0.0026,38,11,0
object,l,2.33,3492.1315789473683,2265.0,-1227.1315789473683,0.0035,38,11,0
object,r,1.96,3496.3684210526317,2913.7,-582.6684210526319,0.2668,38,10,0
object,r,2.33,2980.6315789473683,2467.9,-512.7315789473682,0.3011,38,10,0
word,l,1.96,1464.921052631579,1285.3636363636363,-179.5574162679427,0.5708,38,11,0
word,l,2.33,1151.6315789473683,1015.3636363636364,-136.26794258373195,0.613,38,11,0
word,r,1.96,853.0,1725.0,872.0,0.0071,38,10,0
word,r,2.33,651.578947368421,1368.6,717.0210526315789,0.0081,38,10,0
