metric,category,ctrl_M,ctrl_SD,ci_lo,ci_hi,otc_M,otc_SD,percentile,inside_ci,n_ctrl,n_otc
Geometry Preservation,face,0.7438760291572288,0.30487204855022176,0.5307306570086392,0.9013055165273545,0.7245157536939669,0.28114112336323455,38.57,True,9,5
Geometry Preservation,house,0.3994217610305957,0.5279820685959927,0.06845664530718332,0.723879243487707,0.08031490034144304,0.48558701217111433,2.92,True,9,5
Geometry Preservation,object,0.5309454959354785,0.39451191981340356,0.26398749103721264,0.7305925386432031,0.39588456860876853,0.31013165068521487,14.32,True,9,5
Geometry Preservation,word,0.7671144217482482,0.21534690168707457,0.6204598538192042,0.898339553005682,0.5416632866874437,0.3738312187422403,0.18,False,8,4
RDM Distance,face,1.1413827891479054,0.4481990792112776,0.8774044888048737,1.4276305581581163,1.2075051607147897,0.793420203777641,69.55,True,9,5
RDM Distance,house,1.729912856972516,0.8330993760261287,1.2087474525083346,2.2153446317130734,2.11561435568646,0.8402106668771918,93.75,True,9,5
RDM Distance,object,1.2006475198364577,0.7224728459129318,0.7823237111695635,1.6852616759104762,1.6161757376146824,0.3374687393512675,95.8,True,9,5
RDM Distance,word,1.2547914424986029,0.6047301003190251,0.8793054207525995,1.6517233980114698,1.610769715252634,1.2132545628710232,96.00999999999999,True,8,4
Liu Distinctiveness,face,0.7098298614721826,0.38914128391079206,0.551255879941009,0.877485574761265,0.801208623513812,0.2880972894708678,86.55000000000001,True,21,14
Liu Distinctiveness,house,0.10701944222861833,0.8051031599895812,-0.2075002934706988,0.4465992477745727,0.5519690701763575,0.6541213350190288,99.29,False,22,15
Liu Distinctiveness,object,1.0275574178364313,0.33192593336701587,0.893198792728755,1.1675662564462035,1.1887663635246641,0.4308612740107461,98.75,False,22,15
Liu Distinctiveness,word,0.5079065328660877,0.3595667236851187,0.3529364796355058,0.6549809518795544,0.7757800772032998,0.5050948770592053,100.0,False,21,13
