measure,comparison,comparison_name,spec,beta,p,n_group_a,n_group_b,role,paired,age_cap,roi_set,drop_word
peak_z,1,A = LH ctrl        B = LH-intact pt,binA  word+face | house+object,1.3010370795882924,0.0372962703729627,36,12,primary,False,23.0,primary_strict,False
peak_z,1,A = LH ctrl        B = LH-intact pt,binB  word | face+house+object,1.5883466442216683,0.043695630436956304,36,12,primary,False,23.0,primary_strict,False
peak_z,1,A = LH ctrl        B = LH-intact pt,binC  word+face+house | object,1.7031254679515537,0.025897410258974102,36,12,primary,False,23.0,primary_strict,False
peak_z,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>1.96,7.504481835575527,0.011898810118988102,36,12,primary,False,23.0,primary_strict,False
peak_z,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>2.33,6.911819894169065,0.012198780121987801,36,12,primary,False,23.0,primary_strict,False
peak_z,1,A = LH ctrl        B = LH-intact pt,rank  word>face>object=house,0.6984034672330189,0.011498850114988501,36,12,primary,False,23.0,primary_strict,False
peak_z,1,A = LH ctrl        B = LH-intact pt,sign  LI toward lost side z>2.33,-1.4400093333369006,0.40155984401559847,36,12,primary,False,23.0,primary_strict,False
peak_z,1,A = LH ctrl        B = LH-intact pt,"sign  LI toward lost side, thr-free",-1.0241762321778731,0.45585441455854414,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,binA  word+face | house+object,0.9812614037004601,0.22957704229577042,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,binB  word | face+house+object,1.0499267128602146,0.19708029197080293,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,binC  word+face+house | object,0.46849768707520534,0.5977402259774023,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>1.96,5.306185080767108,0.1332866713328667,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>2.33,4.948080610179825,0.12968703129687031,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,rank  word>face>object=house,0.5020749200435359,0.1426857314268573,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,sign  LI toward lost side z>2.33,1.4509077144446352,0.42905709429057093,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,"sign  LI toward lost side, thr-free",1.0988944086459718,0.45815418458154183,36,12,primary,False,23.0,primary_strict,False
peak_z,3,A = LH-intact pt   B = RH-intact pt,binA  word+face | house+object,0.08026391574063751,0.9314068593140686,12,12,primary,False,23.0,primary_strict,False
peak_z,3,A = LH-intact pt   B = RH-intact pt,binB  word | face+house+object,-1.3814110612287642,0.1927807219278072,12,12,primary,False,23.0,primary_strict,False
peak_z,3,A = LH-intact pt   B = RH-intact pt,binC  word+face+house | object,0.1441616415606184,0.8842115788421158,12,12,primary,False,23.0,primary_strict,False
peak_z,3,A = LH-intact pt   B = RH-intact pt,cont  |LI| z>1.96,-2.920588285325838,0.514048595140486,12,12,primary,False,23.0,primary_strict,False
peak_z,3,A = LH-intact pt   B = RH-intact pt,cont  |LI| z>2.33,-3.0144385018094404,0.4694530546945305,12,12,primary,False,23.0,primary_strict,False
peak_z,3,A = LH-intact pt   B = RH-intact pt,rank  word>face>object=house,-0.20348053829125234,0.6355364463553644,12,12,primary,False,23.0,primary_strict,False
