measure,model,role,paired,comparison,comparison_name,factor,chi2,df,p,age_beta,age_p,surg_beta,surg_p,group_var,n_a,n_b,n_obs,converged,warn,formula,age_cap
peak_z,primary,primary,False,1,A = LH ctrl        B = LH-intact pt,roi,6.161487241043854,3,0.10401245928590416,0.1912184001110184,0.01684919637056158,,,3.3037302219183813,36,12,192,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; is_categorical_dtype is deprec",y ~ C(f) * C(g) + age,23.0
peak_z,primary,primary,False,2,A = RH ctrl        B = RH-intact pt,roi,1.9725340058547665,3,0.5781269005343264,0.3465143120600722,1.292899918958518e-05,,,2.9389563669988688,36,12,192,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; is_categorical_dtype is deprec",y ~ C(f) * C(g) + age,23.0
peak_z,primary,primary,False,3,A = LH-intact pt   B = RH-intact pt,roi,3.085208311536246,3,0.3786733992019436,0.2204663040764442,0.11763560001228712,2.2892437548196853,0.014154437157334538,3.7290184875301304,12,12,96,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; is_categorical_dtype is deprec",y ~ C(f) * C(g) + age + C(surg),23.0
peak_z,primary,supplemental,False,4,A = RH ctrl        B = LH-intact pt  [crossed],roi,8.007055548344931,3,0.04586611360696077,0.2642291112955361,0.0015911535756116116,,,3.5261424848196294,36,12,192,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; is_categorical_dtype is deprec",y ~ C(f) * C(g) + age,23.0
peak_z,primary,supplemental,False,5,A = LH ctrl        B = RH-intact pt  [crossed],roi,6.7413887102574455,3,0.08061369941703934,0.27216376504854045,0.0004276655624300832,,,2.8997069897649026,36,12,192,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; is_categorical_dtype is deprec",y ~ C(f) * C(g) + age,23.0
peak_z,primary,supplemental,True,6,A = LH ctrl        B = RH ctrl       [paired],roi,11.129604862449844,3,0.011045304475078349,0.26017225586966447,0.001304837932049585,,,3.0401948581126423,36,36,288,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; is_categorical_dtype is deprec",y ~ C(f) * C(g) + age,23.0
distinctiveness,primary,primary,False,1,A = LH ctrl        B = LH-intact pt,roi,3.569043784637327,3,0.3119171591974069,0.006048897138053151,0.40859809655895873,,,0.007266932019808994,36,12,192,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; The MLE may be on the boundary",y ~ C(f) * C(g) + age,23.0
distinctiveness,primary,primary,False,2,A = RH ctrl        B = RH-intact pt,roi,3.8571089339252653,3,0.27731292034538624,-0.004212074869809324,0.581201588345744,,,0.006722722792617245,36,12,192,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; The MLE may be on the boundary",y ~ C(f) * C(g) + age,23.0
distinctiveness,primary,primary,False,3,A = LH-intact pt   B = RH-intact pt,roi,0.5434802544020725,3,0.9092402594998639,-0.0056443280555075045,0.6474252097753368,-0.0313808625408733,0.7010341940639415,0.0001920182301429357,12,12,96,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; Maximum Likelihood optimizatio",y ~ C(f) * C(g) + age + C(surg),23.0
distinctiveness,primary,supplemental,False,4,A = RH ctrl        B = LH-intact pt  [crossed],roi,4.713732426492549,3,0.1939999306275988,-0.005021699101215805,0.5033309269115043,,,0.0020962454916726592,36,12,192,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; The MLE may be on the boundary",y ~ C(f) * C(g) + age,23.0
