measure,comparison,comparison_name,role,paired,roi,pair,diff,cohen_d,p,q_fdr,higher_group,n_a,n_b,age_cap,roi_set
peak_z,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,,-2.835696119463009,-0.9516343412537805,0.0066993300669933005,0.026797320267973202,A,36,12,23.0,primary_strict
peak_z,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,,-1.582044997123913,-0.634654769044017,0.0613938606139386,0.1227877212278772,A,36,12,23.0,primary_strict
peak_z,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,,-1.448574922077336,-0.37993024748350646,0.26007399260073993,0.34676532346765326,A,36,12,23.0,primary_strict
peak_z,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,,-0.36709203533305246,-0.20223275622385392,0.549045095490451,0.549045095490451,A,36,12,23.0,primary_strict
peak_z,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,,-1.0184657738461222,-0.29860968076346506,0.37906209379062095,0.7581241875812419,A,36,12,23.0,primary_strict
peak_z,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,,-1.2969806469337195,-0.4372406674509536,0.1922807719228077,0.7581241875812419,A,36,12,23.0,primary_strict
peak_z,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,,-0.4732761394843905,-0.11381390902819888,0.7408259174082592,0.807919208079192,A,36,12,23.0,primary_strict
peak_z,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,,0.12035252610547076,0.0804156542041299,0.807919208079192,0.807919208079192,B,36,12,23.0,primary_strict
peak_z,3,A = LH-intact pt   B = RH-intact pt,primary,False,object_LOC,,0.9432379386745886,0.2556446145115565,0.5297470252974702,0.7063293670632936,B,12,12,23.0,primary_strict
peak_z,3,A = LH-intact pt   B = RH-intact pt,primary,False,house_PPA_strict,,1.0792164852748893,0.3727256159755931,0.3711628837116288,0.7063293670632936,B,12,12,23.0,primary_strict
peak_z,3,A = LH-intact pt   B = RH-intact pt,primary,False,face_FFA,,2.167681381507254,0.572044920257778,0.16968303169683033,0.6787321267873213,B,12,12,23.0,primary_strict
peak_z,3,A = LH-intact pt   B = RH-intact pt,primary,False,word_VWFA,,0.01530087392347923,0.007160092508665322,0.9867013298670133,0.9867013298670133,B,12,12,23.0,primary_strict
peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,object_LOC,,-1.9617037125207109,-0.5953013541522163,0.0837916208379162,0.11172216111722161,A,36,12,23.0,primary_strict
peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,house_PPA_strict,,-2.376197132208609,-0.8465242042397888,0.0150984901509849,0.0603939606039396,A,36,12,23.0,primary_strict
peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,face_FFA,,-2.6409575209916447,-0.6343766839379091,0.060493950604939506,0.11172216111722161,A,36,12,23.0,primary_strict
peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,word_VWFA,,0.10505165218199153,0.06282815417605345,0.8497150284971503,0.8497150284971503,B,36,12,23.0,primary_strict
peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,object_LOC,,-1.8924581807884202,-0.6091075827843261,0.073992600739926,0.295970402959704,A,36,12,23.0,primary_strict
peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,house_PPA_strict,,-0.5028285118490237,-0.18826518983461019,0.5602439756024398,0.5721427857214278,A,36,12,23.0,primary_strict
peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,face_FFA,,0.7191064594299181,0.18886274338479078,0.5721427857214278,0.5721427857214278,B,36,12,23.0,primary_strict
peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,word_VWFA,,-0.3517911614095732,-0.2125598780182868,0.5246475352464753,0.5721427857214278,A,36,12,23.0,primary_strict
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,object_LOC,,-0.8739924069422974,-0.42347422534667273,0.015598440155984402,0.031796820317968204,A,36,36,23.0,primary_strict
peak_z,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,house_PPA_strict,,0.7941521350846963,0.42367851604135953,0.015898410158984102,0.031796820317968204,B,36,36,23.0,primary_strict
