
===== p_perm: 161 changed =====
           measure                           model        level         comparison hemi  p_perm_old  p_perm_new
     peak_distance            LH-intact_pt_vs_ctrl     face_FFA patient_vs_control    l    0.579742    0.272873
     peak_distance            LH-intact_pt_vs_ctrl    house_PPA patient_vs_control    l    0.888711    0.689131
     peak_distance            LH-intact_pt_vs_ctrl   object_LOC patient_vs_control    l    0.278472    0.503450
     peak_distance            LH-intact_pt_vs_ctrl    word_VWFA patient_vs_control    l    0.651835    0.642536
     peak_distance            RH-intact_pt_vs_ctrl     face_FFA patient_vs_control    r    0.965503    0.851715
     peak_distance            RH-intact_pt_vs_ctrl    house_PPA patient_vs_control    r    0.426057    0.809119
     peak_distance            RH-intact_pt_vs_ctrl   object_LOC patient_vs_control    r    0.036296    0.036796
     peak_distance            RH-intact_pt_vs_ctrl    word_VWFA patient_vs_control    r    0.084892    0.095390
   sum_selectivity            LH-intact_pt_vs_ctrl     face_FFA patient_vs_control    l    0.741926    0.558744
   sum_selectivity            LH-intact_pt_vs_ctrl    house_PPA patient_vs_control    l    0.420358    0.539546
   sum_selectivity            LH-intact_pt_vs_ctrl   object_LOC patient_vs_control    l    0.002500    0.005299
   sum_selectivity            LH-intact_pt_vs_ctrl    word_VWFA patient_vs_control    l    0.804020    0.655934
   sum_selectivity            LH-intact_pt_vs_ctrl          ALL            omnibus    l         NaN         NaN
   sum_selectivity            RH-intact_pt_vs_ctrl     face_FFA patient_vs_control    r    0.696330    0.924708
   sum_selectivity            RH-intact_pt_vs_ctrl    house_PPA patient_vs_control    r    0.566443    0.511549
   sum_selectivity            RH-intact_pt_vs_ctrl   object_LOC patient_vs_control    r    0.317868    0.188081
   sum_selectivity            RH-intact_pt_vs_ctrl    word_VWFA patient_vs_control    r    0.933507    0.953405
   sum_selectivity            RH-intact_pt_vs_ctrl          ALL            omnibus    r         NaN         NaN
   sum_selectivity                       ctrl_LvsR     face_FFA  control_asymmetry   lr    0.004600    0.005000
   sum_selectivity                       ctrl_LvsR    house_PPA  control_asymmetry   lr    0.713529    0.715128
   sum_selectivity                       ctrl_LvsR   object_LOC  control_asymmetry   lr    0.001200    0.002100
   sum_selectivity                       ctrl_LvsR    word_VWFA  control_asymmetry   lr    0.262674    0.261274
   sum_selectivity                       ctrl_LvsR          ALL            omnibus   lr         NaN         NaN
   distinctiveness            LH-intact_pt_vs_ctrl     face_FFA patient_vs_control    l    0.386661    0.233177
   distinctiveness            LH-intact_pt_vs_ctrl    house_PPA patient_vs_control    l    0.212879    0.146385
   distinctiveness            LH-intact_pt_vs_ctrl   object_LOC patient_vs_control    l    0.915708    0.664434
   distinctiveness            LH-intact_pt_vs_ctrl    word_VWFA patient_vs_control    l    0.677432    0.804520
   distinctiveness            LH-intact_pt_vs_ctrl          ALL            omnibus    l         NaN         NaN
   distinctiveness            RH-intact_pt_vs_ctrl     face_FFA patient_vs_control    r    0.185181    0.131887
   distinctiveness            RH-intact_pt_vs_ctrl    house_PPA patient_vs_control    r    0.235576    0.196480
   distinctiveness            RH-intact_pt_vs_ctrl   object_LOC patient_vs_control    r    0.779722    0.841016
   distinctiveness            RH-intact_pt_vs_ctrl    word_VWFA patient_vs_control    r    0.038696    0.017298
   distinctiveness            RH-intact_pt_vs_ctrl          ALL            omnibus    r         NaN         NaN
   distinctiveness                       ctrl_LvsR     face_FFA  control_asymmetry   lr    0.062594    0.065793
   distinctiveness                       ctrl_LvsR    house_PPA  control_asymmetry   lr    0.753425    0.753725
   distinctiveness                       ctrl_LvsR   object_LOC  control_asymmetry   lr    0.081192    0.086191
   distinctiveness                       ctrl_LvsR    word_VWFA  control_asymmetry   lr    0.004400    0.003600
   distinctiveness                       ctrl_LvsR          ALL            omnibus   lr         NaN         NaN
               wta                M1_LH_ctrl_vs_pt          ALL            omnibus  NaN         NaN         NaN
               wta                M1_LH_ctrl_vs_pt         face patient_vs_control  NaN    0.920708    0.339966
               wta                M1_LH_ctrl_vs_pt        house patient_vs_control  NaN    0.069593    0.115088
               wta                M1_LH_ctrl_vs_pt       object patient_vs_control  NaN    0.036496    0.073093
               wta                M1_LH_ctrl_vs_pt         word patient_vs_control  NaN    0.001000    0.001600
               wta                M2_RH_ctrl_vs_pt          ALL            omnibus  NaN         NaN         NaN
               wta                M2_RH_ctrl_vs_pt         face patient_vs_control  NaN    0.020198    0.004400
               wta                M2_RH_ctrl_vs_pt        house patient_vs_control  NaN    0.036396    0.020798
               wta                M2_RH_ctrl_vs_pt       object patient_vs_control  NaN    0.013499    0.004900
               wta                M2_RH_ctrl_vs_pt         word patient_vs_control  NaN    0.006799    0.003800
