stage,measure,comparison,comparison_name,role,paired,spec,roi,pair,model,factor,beta,chi2,df,p,q_fdr,cohen_d,diff,n_a,n_b,converged,age_cap,roi_set,drop_word,age_beta,age_p,surg_beta,surg_p,group_var,n_obs,warn,formula,higher_group
grid,peak_z,1,A = LH ctrl        B = LH-intact pt,primary,False,binA  word+face | house+object,,,,,1.3010370795882924,,,0.0372962703729627,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,1,A = LH ctrl        B = LH-intact pt,primary,False,binB  word | face+house+object,,,,,1.5883466442216685,,,0.0436956304369563,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,1,A = LH ctrl        B = LH-intact pt,primary,False,binC  word+face+house | object,,,,,1.7031254679515535,,,0.0258974102589741,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,1,A = LH ctrl        B = LH-intact pt,primary,False,cont  |LI| z>1.96,,,,,7.504481835575527,,,0.0118988101189881,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,1,A = LH ctrl        B = LH-intact pt,primary,False,cont  |LI| z>2.33,,,,,6.911819894169065,,,0.0121987801219878,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,1,A = LH ctrl        B = LH-intact pt,primary,False,rank  word>face>object=house,,,,,0.6984034672330189,,,0.0114988501149885,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,1,A = LH ctrl        B = LH-intact pt,primary,False,sign  LI toward lost side z>2.33,,,,,-1.4400093333369006,,,0.4015598440155984,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,1,A = LH ctrl        B = LH-intact pt,primary,False,"sign  LI toward lost side, thr-free",,,,,-1.0241762321778731,,,0.4558544145585441,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,2,A = RH ctrl        B = RH-intact pt,primary,False,binA  word+face | house+object,,,,,0.98126140370046,,,0.2295770422957704,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,2,A = RH ctrl        B = RH-intact pt,primary,False,binB  word | face+house+object,,,,,1.0499267128602146,,,0.1970802919708029,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,2,A = RH ctrl        B = RH-intact pt,primary,False,binC  word+face+house | object,,,,,0.4684976870752053,,,0.5977402259774023,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,2,A = RH ctrl        B = RH-intact pt,primary,False,cont  |LI| z>1.96,,,,,5.306185080767108,,,0.1332866713328667,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,2,A = RH ctrl        B = RH-intact pt,primary,False,cont  |LI| z>2.33,,,,,4.948080610179825,,,0.1296870312968703,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,2,A = RH ctrl        B = RH-intact pt,primary,False,rank  word>face>object=house,,,,,0.5020749200435359,,,0.1426857314268573,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,2,A = RH ctrl        B = RH-intact pt,primary,False,sign  LI toward lost side z>2.33,,,,,1.4509077144446352,,,0.4290570942905709,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,2,A = RH ctrl        B = RH-intact pt,primary,False,"sign  LI toward lost side, thr-free",,,,,1.0988944086459718,,,0.4581541845815418,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,3,A = LH-intact pt   B = RH-intact pt,primary,False,binA  word+face | house+object,,,,,0.0802639157406375,,,0.9314068593140686,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,3,A = LH-intact pt   B = RH-intact pt,primary,False,binB  word | face+house+object,,,,,-1.3814110612287642,,,0.1927807219278072,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,3,A = LH-intact pt   B = RH-intact pt,primary,False,binC  word+face+house | object,,,,,0.1441616415606184,,,0.8842115788421158,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,3,A = LH-intact pt   B = RH-intact pt,primary,False,cont  |LI| z>1.96,,,,,-2.920588285325838,,,0.514048595140486,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,3,A = LH-intact pt   B = RH-intact pt,primary,False,cont  |LI| z>2.33,,,,,-3.0144385018094404,,,0.4694530546945305,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,3,A = LH-intact pt   B = RH-intact pt,primary,False,rank  word>face>object=house,,,,,-0.2034805382912523,,,0.6355364463553644,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,3,A = LH-intact pt   B = RH-intact pt,primary,False,sign  LI toward lost side z>2.33,,,,,-3.175498917457912,,,0.1157884211578842,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,3,A = LH-intact pt   B = RH-intact pt,primary,False,"sign  LI toward lost side, thr-free",,,,,-2.5229492318695,,,0.1161883811618838,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,binA  word+face | house+object,,,,,0.9009974879598126,,,0.2521747825217478,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,binB  word | face+house+object,,,,,2.431337774088953,,,0.0017998200179982,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,binC  word+face+house | object,,,,,0.3243360455146167,,,0.7092290770922908,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,cont  |LI| z>1.96,,,,,8.22677336609299,,,0.0122987701229877,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,cont  |LI| z>2.33,,,,,7.962519111989278,,,0.0077992200779922,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,rank  word>face>object=house,,,,,0.7055554583347516,,,0.0253974602539746,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,sign  LI toward lost side z>2.33,,,,,-4.626406631902535,,,0.0121987801219878,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,"sign  LI toward lost side, thr-free",,,,,-3.621843640515443,,,0.0152984701529847,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,binA  word+face | house+object,,,,,1.381300995328898,,,0.0423957604239576,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,binB  word | face+house+object,,,,,0.2069355829929451,,,0.791020897910209,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,binC  word+face+house | object,,,,,1.8472871095121723,,,0.0215978402159784,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,cont  |LI| z>1.96,,,,,4.583893550249711,,,0.1528847115288471,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,cont  |LI| z>2.33,,,,,3.8973813923596263,,,0.190980901909809,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,rank  word>face>object=house,,,,,0.4949229289417856,,,0.1022897710228977,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,sign  LI toward lost side z>2.33,,,,,-1.735489584120976,,,0.3151684831516848,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,"sign  LI toward lost side, thr-free",,,,,-1.4987729996915702,,,0.276972302769723,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,binA  word+face | house+object,,,,,0.3601194556996168,,,0.2483751624837516,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,binB  word | face+house+object,,,,,-0.4721436875150226,,,0.0385961403859614,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,binC  word+face+house | object,,,,,0.5047970154946704,,,0.0463953604639536,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,cont  |LI| z>1.96,,,,,0.4901240384904146,,,0.5302469753024698,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,cont  |LI| z>2.33,,,,,0.3830758065308459,,,0.5888411158884111,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,rank  word>face>object=house,,,,,0.053180089454111,,,0.4477552244775522,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,sign  LI toward lost side z>2.33,,,,,2.8848854819234773,,,0.0043995600439956,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,"sign  LI toward lost side, thr-free",,,,,2.4131925782258885,,,0.0045995400459954,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,1,A = LH ctrl        B = LH-intact pt,primary,False,binA  word+face | house+object,,,,,0.1804631798413157,,,0.1083891610838916,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,1,A = LH ctrl        B = LH-intact pt,primary,False,binB  word | face+house+object,,,,,0.0160309936680538,,,0.90990900909909,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,1,A = LH ctrl        B = LH-intact pt,primary,False,binC  word+face+house | object,,,,,0.0742176558423422,,,0.6038396160383962,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,1,A = LH ctrl        B = LH-intact pt,primary,False,cont  |LI| z>1.96,,,,,0.5705907059682698,,,0.3255674432556744,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,1,A = LH ctrl        B = LH-intact pt,primary,False,cont  |LI| z>2.33,,,,,0.4997937578122157,,,0.3568643135686431,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,1,A = LH ctrl        B = LH-intact pt,primary,False,rank  word>face>object=house,,,,,0.0628262255584489,,,0.2493750624937506,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,1,A = LH ctrl        B = LH-intact pt,primary,False,sign  LI toward lost side z>2.33,,,,,0.1098354782689595,,,0.6956304369563043,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,1,A = LH ctrl        B = LH-intact pt,primary,False,"sign  LI toward lost side, thr-free",,,,,0.0955578613997179,,,0.6693330666933307,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,binA  word+face | house+object,,,,,-0.1796216193040069,,,0.1427857214278572,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,binB  word | face+house+object,,,,,-0.244898057833768,,,0.0658934106589341,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,binC  word+face+house | object,,,,,-0.1951499343732042,,,0.2180781921807819,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,cont  |LI| z>1.96,,,,,-1.093914124463666,,,0.0698930106989301,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,cont  |LI| z>2.33,,,,,-1.0176188847642795,,,0.0677932206779322,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,rank  word>face>object=house,,,,,-0.1006902160736305,,,0.0828917108289171,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,sign  LI toward lost side z>2.33,,,,,-0.2884664462432269,,,0.2392760723927607,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,2,A = RH ctrl        B = RH-intact pt,primary,False,"sign  LI toward lost side, thr-free",,,,,-0.2142223719103236,,,0.2723727627237276,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,binA  word+face | house+object,,,,,-0.0624530706737616,,,0.676032396760324,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,binB  word | face+house+object,,,,,0.0275106112405469,,,0.8703129687031297,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,binC  word+face+house | object,,,,,0.0192486883460023,,,0.926107389261074,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,cont  |LI| z>1.96,,,,,-0.1210044389966108,,,0.8639136086391361,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,cont  |LI| z>2.33,,,,,-0.100509715507955,,,0.8795120487951205,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,rank  word>face>object=house,,,,,-0.0162325883511621,,,0.8133186681331867,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,sign  LI toward lost side z>2.33,,,,,0.0723260530195923,,,0.8477152284771523,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,primary,False,"sign  LI toward lost side, thr-free",,,,,0.0581655365059715,,,0.8484151584841516,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,binA  word+face | house+object,,,,,-0.1171685486302519,,,0.336966303369663,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,binB  word | face+house+object,,,,,-0.2724086690743157,,,0.051994800519948,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,binC  word+face+house | object,,,,,-0.2143986227192028,,,0.1963803619638036,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,cont  |LI| z>1.96,,,,,-0.9729096854670584,,,0.1172882711728827,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,cont  |LI| z>2.33,,,,,-0.9171091692563276,,,0.1133886611338866,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,rank  word>face>object=house,,,,,-0.0844576277224685,,,0.1492850714928507,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,sign  LI toward lost side z>2.33,,,,,0.3607924992628151,,,0.2031796820317968,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
