measure,parcel,hemi,p_full,classification,n_drops,n_break,n_emergent,p_max,driver
distance,face_FFA,l,0.2776,stable-null,22,22,0,0.4461,
distance,face_FFA,r,0.8516,stable-null,22,22,0,0.9707,
distance,house_PPA,l,0.6969,stable-null,22,22,0,0.9384,
distance,house_PPA,r,0.8082,stable-null,22,22,0,0.9759,
distance,object_LOC,l,0.5136,stable-null,22,22,0,0.8562,
distance,object_LOC,r,0.0355,FRAGILE,22,6,16,0.0847,sub-044
distance,word_VWFA,l,0.6558,stable-null,22,22,0,0.947,
distance,word_VWFA,r,0.0954,OUTLIER-EMERGENT,22,21,1,0.2766,sub-021
sum_selectivity,face_FFA,l,0.6968,stable-null,22,22,0,0.9227,
sum_selectivity,face_FFA,r,0.1812,OUTLIER-EMERGENT,22,21,1,0.3312,sub-069
sum_selectivity,house_PPA,l,0.5439,stable-null,22,22,0,0.7899,
sum_selectivity,house_PPA,r,0.1199,stable-null,22,22,0,0.4965,
sum_selectivity,object_LOC,l,0.0024,ROBUST,22,0,22,0.0147,
sum_selectivity,object_LOC,r,0.0378,FRAGILE,22,6,16,0.1029,sub-092
sum_selectivity,word_VWFA,l,0.208,stable-null,22,22,0,0.3942,
sum_selectivity,word_VWFA,r,0.7541,stable-null,22,22,0,0.9613,
distinctiveness,face_FFA,l,0.1587,stable-null,22,22,0,0.4178,
distinctiveness,face_FFA,r,0.0746,OUTLIER-EMERGENT,22,19,3,0.1598,sub-044
distinctiveness,house_PPA,l,0.0808,OUTLIER-EMERGENT,22,20,2,0.1769,sub-089
distinctiveness,house_PPA,r,0.0794,OUTLIER-EMERGENT,22,21,1,0.1624,sub-078
distinctiveness,object_LOC,l,0.7107,stable-null,22,22,0,0.9331,
distinctiveness,object_LOC,r,0.7018,stable-null,22,22,0,0.9754,
distinctiveness,word_VWFA,l,0.3985,stable-null,22,22,0,0.8029,
distinctiveness,word_VWFA,r,0.0091,ROBUST,22,0,22,0.0237,
