measure,parcel,hemi,dropped,p
distance,face_FFA,l,sub-004,0.2584
distance,face_FFA,l,sub-005,0.3419
distance,face_FFA,l,sub-008,0.1995
distance,face_FFA,l,sub-010,0.2644
distance,face_FFA,l,sub-021,0.2734
distance,face_FFA,l,sub-039,0.3098
distance,face_FFA,l,sub-044,0.2621
distance,face_FFA,l,sub-066,0.2707
distance,face_FFA,l,sub-069,0.2758
distance,face_FFA,l,sub-074,0.2264
distance,face_FFA,l,sub-075,0.3454
distance,face_FFA,l,sub-076,0.2646
distance,face_FFA,l,sub-077,0.3464
distance,face_FFA,l,sub-078,0.27
distance,face_FFA,l,sub-079,0.3601
distance,face_FFA,l,sub-082,0.272
distance,face_FFA,l,sub-089,0.1812
distance,face_FFA,l,sub-090,0.2669
distance,face_FFA,l,sub-091,0.4461
distance,face_FFA,l,sub-092,0.2603
distance,face_FFA,l,sub-099,0.2662
distance,face_FFA,l,sub-108,0.2766
distance,face_FFA,r,sub-004,0.8484
distance,face_FFA,r,sub-005,0.8573
distance,face_FFA,r,sub-008,0.8519
distance,face_FFA,r,sub-010,0.7871
distance,face_FFA,r,sub-021,0.9043
distance,face_FFA,r,sub-039,0.8495
distance,face_FFA,r,sub-044,0.7335
distance,face_FFA,r,sub-066,0.7665
distance,face_FFA,r,sub-069,0.7251
distance,face_FFA,r,sub-074,0.8527
distance,face_FFA,r,sub-075,0.8592
distance,face_FFA,r,sub-076,0.9707
distance,face_FFA,r,sub-077,0.8498
distance,face_FFA,r,sub-078,0.7261
distance,face_FFA,r,sub-079,0.8526
distance,face_FFA,r,sub-082,0.712
distance,face_FFA,r,sub-089,0.8526
distance,face_FFA,r,sub-090,0.9333
distance,face_FFA,r,sub-091,0.8479
distance,face_FFA,r,sub-092,0.7177
distance,face_FFA,r,sub-099,0.9361
distance,face_FFA,r,sub-108,0.8058
distance,house_PPA,l,sub-004,0.7796
distance,house_PPA,l,sub-005,0.6767
distance,house_PPA,l,sub-008,0.5298
distance,house_PPA,l,sub-010,0.6914
distance,house_PPA,l,sub-021,0.6972
distance,house_PPA,l,sub-039,0.9384
distance,house_PPA,l,sub-044,0.7027
distance,house_PPA,l,sub-066,0.7065
distance,house_PPA,l,sub-069,0.7033
distance,house_PPA,l,sub-074,0.5163
distance,house_PPA,l,sub-075,0.5606
distance,house_PPA,l,sub-076,0.6918
distance,house_PPA,l,sub-077,0.7205
distance,house_PPA,l,sub-078,0.6975
distance,house_PPA,l,sub-079,0.9165
distance,house_PPA,l,sub-082,0.6954
distance,house_PPA,l,sub-089,0.4294
distance,house_PPA,l,sub-090,0.6947
distance,house_PPA,l,sub-091,0.8647
distance,house_PPA,l,sub-092,0.7105
distance,house_PPA,l,sub-099,0.7054
distance,house_PPA,l,sub-108,0.6932
distance,house_PPA,r,sub-004,0.8109
distance,house_PPA,r,sub-005,0.8146
distance,house_PPA,r,sub-008,0.8132
distance,house_PPA,r,sub-010,0.9612
distance,house_PPA,r,sub-021,0.8018
distance,house_PPA,r,sub-039,0.8084
distance,house_PPA,r,sub-044,0.832
distance,house_PPA,r,sub-066,0.667
distance,house_PPA,r,sub-069,0.9212
distance,house_PPA,r,sub-074,0.8101
distance,house_PPA,r,sub-075,0.8105
distance,house_PPA,r,sub-076,0.4227
distance,house_PPA,r,sub-077,0.8083
distance,house_PPA,r,sub-078,0.8809
distance,house_PPA,r,sub-079,0.8152
distance,house_PPA,r,sub-082,0.8499
distance,house_PPA,r,sub-089,0.8156
distance,house_PPA,r,sub-090,0.9111
distance,house_PPA,r,sub-091,0.8114
distance,house_PPA,r,sub-092,0.5699
distance,house_PPA,r,sub-099,0.5395
distance,house_PPA,r,sub-108,0.9759
distance,object_LOC,l,sub-004,0.5227
distance,object_LOC,l,sub-005,0.8006
distance,object_LOC,l,sub-008,0.6295
distance,object_LOC,l,sub-010,0.5008
distance,object_LOC,l,sub-021,0.5047
distance,object_LOC,l,sub-039,0.5085
distance,object_LOC,l,sub-044,0.5102
distance,object_LOC,l,sub-066,0.5081
distance,object_LOC,l,sub-069,0.5076
distance,object_LOC,l,sub-074,0.4581
distance,object_LOC,l,sub-075,0.2013
distance,object_LOC,l,sub-076,0.5127
distance,object_LOC,l,sub-077,0.8562
distance,object_LOC,l,sub-078,0.5083
distance,object_LOC,l,sub-079,0.7077
distance,object_LOC,l,sub-082,0.5145
distance,object_LOC,l,sub-089,0.2886
distance,object_LOC,l,sub-090,0.5074
distance,object_LOC,l,sub-091,0.4746
distance,object_LOC,l,sub-092,0.5114
distance,object_LOC,l,sub-099,0.4973
distance,object_LOC,l,sub-108,0.5112
distance,object_LOC,r,sub-004,0.034
distance,object_LOC,r,sub-005,0.0328
distance,object_LOC,r,sub-008,0.0376
distance,object_LOC,r,sub-010,0.0563
distance,object_LOC,r,sub-021,0.0536
distance,object_LOC,r,sub-039,0.0362
distance,object_LOC,r,sub-044,0.0847
distance,object_LOC,r,sub-066,0.0341
distance,object_LOC,r,sub-069,0.0572
distance,object_LOC,r,sub-074,0.034
distance,object_LOC,r,sub-075,0.033
distance,object_LOC,r,sub-076,0.0367
distance,object_LOC,r,sub-077,0.0318
distance,object_LOC,r,sub-078,0.0508
distance,object_LOC,r,sub-079,0.0362
distance,object_LOC,r,sub-082,0.0511
distance,object_LOC,r,sub-089,0.0344
distance,object_LOC,r,sub-090,0.0319
distance,object_LOC,r,sub-091,0.0366
distance,object_LOC,r,sub-092,0.0124
distance,object_LOC,r,sub-099,0.038
distance,object_LOC,r,sub-108,0.0276
