measure,model,comparison,hemi,level,omnibus_chi2,omnibus_df,omnibus_p,mse,gating,diff,cohens_d,delta_log10,p_perm,q_fdr,ci_lo,ci_hi,n_a,n_b,note
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,face_FFA,,,,,not_gating,-2.399103666288079,-0.39567993791552386,,0.27287271272872715,0.6891310868913109,-0.8593406408335231,0.12068548706235588,10.0,38.0,
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,house_PPA,,,,,not_gating,-0.7688909203540959,-0.13890085498197532,,0.6891310868913109,0.6891310868913109,-0.8618125305526505,0.5401492967846203,10.0,38.0,
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,object_LOC,,,,,not_gating,0.7058193564032731,0.23762287766374665,,0.5034496550344966,0.6891310868913109,-0.5184617457887938,1.0345562740365952,10.0,38.0,
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,word_VWFA,,,,,not_gating,1.2039540882723294,0.1628910520217049,,0.6425357464253575,0.6891310868913109,-0.6021203969241882,1.0800278591945165,10.0,38.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,face_FFA,,,,,not_gating,0.35983432956538053,0.0637435946848815,,0.8517148285171483,0.8517148285171483,-0.4625186126545984,0.753352629956434,12.0,38.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,house_PPA,,,,,not_gating,0.5282838490562867,0.07963414981976043,,0.8091190880911909,0.8517148285171483,-0.6531964111511877,0.7956526617530437,12.0,38.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,object_LOC,,,,,not_gating,3.011889572588701,0.7190759782336011,,0.0367963203679632,0.1471852814718528,0.16256499793163826,1.4065522297632436,12.0,38.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,word_VWFA,,,,,not_gating,3.3421995110900635,0.5535351140009721,,0.0953904609539046,0.1907809219078092,-0.03956019791994655,1.3761337829075513,12.0,38.0,
sum_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,face_FFA,,,,,not_gating,-0.11316434705232048,-0.21992363017551553,-0.11316434705232048,0.5587441255874412,0.6559344065593441,-1.065417509945422,0.7113270276998067,10.0,37.0,
sum_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,house_PPA,,,,,not_gating,-0.0804982980180391,-0.2208903342716751,-0.0804982980180391,0.5395460453954605,0.6559344065593441,-1.0994262667480679,0.5795232308921202,10.0,38.0,
sum_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,object_LOC,,,,,not_gating,-0.4119407875834806,-1.126583515510961,-0.4119407875834806,0.0052994700529947,0.0211978802119788,-2.1442000129306504,-0.14262128584608139,10.0,38.0,
sum_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,word_VWFA,,,,,not_gating,0.13513932266623785,0.18030725735601513,0.13513932266623785,0.6559344065593441,0.6559344065593441,-0.6149572302778522,0.8626743031421013,9.0,36.0,
sum_selectivity,LH-intact_pt_vs_ctrl,omnibus,l,ALL,6.650235868753583,3.0,0.0839221927952329,0.1938614383245526,not_gating,,,,,,,,,,"category==ROI: family-wise context, not a profile test"
sum_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,face_FFA,,,,,not_gating,-0.01805788667307473,-0.03346343690679489,-0.01805788667307473,0.9247075292470753,0.9534046595340466,-0.8644085061083248,0.8687752356019961,12.0,36.0,
sum_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,house_PPA,,,,,not_gating,-0.13505011116085175,-0.22974501935830605,-0.13505011116085175,0.5115488451154885,0.9534046595340466,-1.2257187272976222,0.2287080840828601,12.0,38.0,
sum_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,object_LOC,,,,,not_gating,-0.1291319098772341,-0.4412222474915412,-0.1291319098772341,0.18808119188081193,0.7523247675232477,-1.3258683873871715,0.2510247290071297,12.0,38.0,
sum_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,word_VWFA,,,,,not_gating,0.016722633717635826,0.01957510016926188,0.016722633717635826,0.9534046595340466,0.9534046595340466,-0.7485144428934325,0.7137176421798858,11.0,37.0,
sum_selectivity,RH-intact_pt_vs_ctrl,omnibus,r,ALL,0.7508095591704116,3.0,0.8611928340467567,0.28652775304741457,not_gating,,,,,,,,,,"category==ROI: family-wise context, not a profile test"
sum_selectivity,ctrl_LvsR,control_asymmetry,lr,face_FFA,,,,,separate_family,-0.21794658241875153,-0.5035392019609701,-0.21794658241875153,0.004999500049995001,0.009999000099990002,-0.9093571042020572,-0.17809937366118853,36.0,,
sum_selectivity,ctrl_LvsR,control_asymmetry,lr,house_PPA,,,,,separate_family,-0.0369633459177393,-0.08441386765300518,-0.0369633459177393,0.7151284871512849,0.7151284871512849,-0.7996701996377602,0.1774046495625602,38.0,,
sum_selectivity,ctrl_LvsR,control_asymmetry,lr,object_LOC,,,,,separate_family,0.08023534323081366,0.5447647994117264,0.08023534323081366,0.0020997900209979003,0.008399160083991601,0.24950121196405423,0.9149654904627471,38.0,,
sum_selectivity,ctrl_LvsR,control_asymmetry,lr,word_VWFA,,,,,separate_family,0.12517723370320105,0.19336684532503004,0.12517723370320105,0.2612738726127387,0.3483651634836516,-0.12326901364035543,0.5663590511115603,36.0,,
sum_selectivity,ctrl_LvsR,omnibus,lr,ALL,6.66541738709811,3.0,0.08336222437118823,0.22792403322207608,separate_family,,,,,,,,,,
distinctiveness,LH-intact_pt_vs_ctrl,patient_vs_control,l,face_FFA,,,,,not_gating,-0.14295940412843644,-0.42900808609319596,,0.23317668233176683,0.46635336466353366,-1.1782204191052903,0.27331265641444674,10.0,38.0,
distinctiveness,LH-intact_pt_vs_ctrl,patient_vs_control,l,house_PPA,,,,,not_gating,-0.38744629214609094,-0.5292557334478729,,0.1463853614638536,0.46635336466353366,-1.1119412145355196,0.027558186409305997,10.0,38.0,
distinctiveness,LH-intact_pt_vs_ctrl,patient_vs_control,l,object_LOC,,,,,not_gating,-0.0676321490971441,-0.1576515841419849,,0.6644335566443356,0.8045195480451954,-0.9168848137574453,0.566813484472859,10.0,38.0,
distinctiveness,LH-intact_pt_vs_ctrl,patient_vs_control,l,word_VWFA,,,,,not_gating,-0.03794907741109255,-0.0877397364917021,,0.8045195480451954,0.8045195480451954,-0.8080788145304223,0.6156731488376579,10.0,37.0,
distinctiveness,LH-intact_pt_vs_ctrl,omnibus,l,ALL,2.5091476160022657,3.0,0.47364017245266166,0.23911286945831464,not_gating,,,,,,,,,,"category==ROI: family-wise context, not a profile test"
distinctiveness,RH-intact_pt_vs_ctrl,patient_vs_control,r,face_FFA,,,,,not_gating,0.1872544400433943,0.5093212357604755,,0.13188681131886812,0.261973802619738,-0.10258383934308693,1.2856307113829817,12.0,37.0,
distinctiveness,RH-intact_pt_vs_ctrl,patient_vs_control,r,house_PPA,,,,,not_gating,0.3379009168250967,0.4273428086553477,,0.1964803519648035,0.261973802619738,-0.12891666470982993,1.078997585589721,12.0,38.0,
distinctiveness,RH-intact_pt_vs_ctrl,patient_vs_control,r,object_LOC,,,,,not_gating,-0.034025902130899066,-0.06677596459810554,,0.841015898410159,0.841015898410159,-0.7752842626164405,0.5600886094791965,12.0,38.0,
distinctiveness,RH-intact_pt_vs_ctrl,patient_vs_control,r,word_VWFA,,,,,not_gating,0.3995935478703183,0.8188013224126974,,0.017298270172982702,0.06919308069193081,0.2752735373640486,1.5591341845760227,12.0,37.0,
distinctiveness,RH-intact_pt_vs_ctrl,omnibus,r,ALL,3.4766228749683785,3.0,0.3238067361992235,0.2938394376075967,not_gating,,,,,,,,,,"category==ROI: family-wise context, not a profile test"
distinctiveness,ctrl_LvsR,control_asymmetry,lr,face_FFA,,,,,separate_family,0.1407281583332233,0.31413844262740825,,0.06579342065793421,0.1149218411492184,-0.0027059203737811433,0.7222335280467193,37.0,,
distinctiveness,ctrl_LvsR,control_asymmetry,lr,house_PPA,,,,,separate_family,-0.059269953774709616,-0.05327310240052985,,0.7537246275372462,0.7537246275372462,-0.3957334168604951,0.25586869871992884,38.0,,
distinctiveness,ctrl_LvsR,control_asymmetry,lr,object_LOC,,,,,separate_family,-0.18125649479441072,-0.28962352997177887,,0.0861913808619138,0.1149218411492184,-0.6403533536723216,0.019124114552145494,38.0,,
distinctiveness,ctrl_LvsR,control_asymmetry,lr,word_VWFA,,,,,separate_family,0.27255139605239237,0.4893991592333183,,0.0035996400359964,0.0143985601439856,0.19188468511657164,0.8466798036228705,37.0,,
distinctiveness,ctrl_LvsR,omnibus,lr,ALL,8.497665269705424,3.0,0.03677186972589481,0.26655547522904266,separate_family,,,,,,,,,,
wta,M1_LH_ctrl_vs_pt,omnibus,,ALL,26.242351793548284,3.0,8.485550827891028e-06,208.4841141384569,gates_posthoc,,,,,,,,,,
wta,M1_LH_ctrl_vs_pt,patient_vs_control,,face,,,,,gated,4.212809021283059,0.3430763493948328,,0.33996600339966004,0.33996600339966004,-0.23886926778491785,0.8799592259125287,38.0,10.0,
wta,M1_LH_ctrl_vs_pt,patient_vs_control,,house,,,,,gated,7.550732057147215,0.5862449333892893,,0.11508849115088492,0.1315297041724399,-0.22400448192513658,1.4586846147859431,38.0,10.0,
wta,M1_LH_ctrl_vs_pt,patient_vs_control,,object,,,,,gated,10.658124457905206,0.6536716421730304,,0.0730926907309269,0.0974569209745692,0.07337625802627801,1.3418881698847915,38.0,10.0,
wta,M1_LH_ctrl_vs_pt,patient_vs_control,,word,,,,,gated,-22.421665536335475,-1.4140975351258929,,0.0015998400159984002,0.009799020097990201,-2.561175706748547,-0.5266772274991055,38.0,10.0,
wta,M2_RH_ctrl_vs_pt,omnibus,,ALL,33.599026817747614,3.0,2.407465735085893e-07,180.38932045378883,gates_posthoc,,,,,,,,,,
wta,M2_RH_ctrl_vs_pt,patient_vs_control,,face,,,,,gated,-11.421873797930482,-0.9553983725952444,,0.004399560043995601,0.009799020097990201,-1.9601877866696886,-0.11596794821428937,38.0,12.0,
wta,M2_RH_ctrl_vs_pt,patient_vs_control,,house,,,,,gated,8.45690799263891,0.7970519756989255,,0.0207979202079792,0.033276672332766724,0.07838352691320492,1.6882306609889632,38.0,12.0,
wta,M2_RH_ctrl_vs_pt,patient_vs_control,,object,,,,,gated,16.61851572497789,0.9700191097220969,,0.004899510048995101,0.009799020097990201,0.10482327719374059,2.0688273077942947,38.0,12.0,
wta,M2_RH_ctrl_vs_pt,patient_vs_control,,word,,,,,gated,-13.6535499196863,-1.039426846048728,,0.0037996200379962005,0.009799020097990201,-1.9889909584368857,-0.20297153693301478,38.0,12.0,
wta,M3_LH_vs_RH_pt,omnibus,,ALL,2.6989788456874853,3.0,0.44040085673235363,388.42518502111153,gates_posthoc,,,,,,,,,,
