measure,model,comparison,hemi,level,omnibus_chi2,omnibus_df,omnibus_p,mse,gating,diff,cohens_d,delta_log10,p_perm,q_fdr,ci_lo,ci_hi,n_a,n_b,note
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,face_FFA,,,,,not_gating,-1.236250859805832,-0.19759029534862357,,0.5797420257974203,0.8691130886911309,-0.7686220780185442,0.43598548896721767,11.0,38.0,
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,house_PPA,,,,,not_gating,0.2738028911981054,0.04800254719051828,,0.8887111288871112,0.8887111288871112,-0.6898363279129636,0.7919080148164619,11.0,38.0,
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,object_LOC,,,,,not_gating,1.1272212582661787,0.3746849624646687,,0.27847215278472154,0.8691130886911309,-0.3638512305025304,1.2378810149955466,11.0,38.0,
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,word_VWFA,,,,,not_gating,1.141672032349227,0.15612117437023298,,0.6518348165183482,0.8691130886911309,-0.5745605963561058,1.0041518295986016,11.0,38.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,face_FFA,,,,,not_gating,-0.0819761707083746,-0.014492353289205923,,0.9655034496550345,0.9655034496550345,-0.5397856572483156,0.6704831855619174,11.0,38.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,house_PPA,,,,,not_gating,1.7416207524009373,0.27262743539284634,,0.42605739426057393,0.5680765256807653,-0.40082961385649984,0.9547209190339705,11.0,38.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,object_LOC,,,,,not_gating,3.1044199875762084,0.7338987335597499,,0.0362963703629637,0.1451854814518548,0.17652801608631613,1.47141252944714,11.0,38.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,word_VWFA,,,,,not_gating,3.5902180403781543,0.5897553207248591,,0.08489151084891511,0.16978302169783022,-0.02957420813934412,1.4707378901782926,11.0,38.0,
sum_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,face_FFA,,,,,not_gating,0.10905256148881559,0.23644824932529482,0.10905256148881559,0.5015498450154985,0.5015498450154985,-0.3544135056518788,0.762270273181493,11.0,37.0,
sum_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,house_PPA,,,,,not_gating,-0.07884797529440979,-0.25360017341670865,-0.07884797529440979,0.45745425457454253,0.5015498450154985,-1.0758766095543075,0.5037845964875617,11.0,38.0,
sum_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,object_LOC,,,,,not_gating,-0.3455794810183095,-1.286584435778305,-0.3455794810183095,0.0017998200179982,0.0071992800719928,-2.396350591679438,-0.4074272376596845,11.0,38.0,
sum_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,word_VWFA,,,,,not_gating,0.2302693096821571,0.3533437635966594,0.2302693096821571,0.34636536346365365,0.5015498450154985,-0.23804117041702127,0.8976517115724841,9.0,36.0,
sum_selectivity,LH-intact_pt_vs_ctrl,omnibus,l,ALL,9.304674451946294,3.0,0.025502708075050475,0.1571170767353925,not_gating,,,,,,,,,,"category==ROI: family-wise context, not a profile test"
sum_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,face_FFA,,,,,not_gating,0.11464252064494884,0.353170448197293,0.11464252064494884,0.34496550344965504,0.45995400459954006,-0.40696726640678493,1.0902929865901272,10.0,35.0,
sum_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,house_PPA,,,,,not_gating,-0.15239177648546143,-0.49616208268162143,-0.15239177648546143,0.15658434156584342,0.31316868313168683,-1.259555644568966,0.23124573184208386,11.0,38.0,
sum_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,object_LOC,,,,,not_gating,-0.1498095373277204,-0.5914618553462506,-0.1498095373277204,0.09069093090690931,0.31316868313168683,-1.5062189987723194,0.1789607224601928,11.0,38.0,
sum_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,word_VWFA,,,,,not_gating,-0.04625601839257687,-0.09145082976212904,-0.04625601839257687,0.8006199380061993,0.8006199380061993,-0.8982313107953155,0.6924157531145992,11.0,31.0,
sum_selectivity,RH-intact_pt_vs_ctrl,omnibus,r,ALL,2.8390114463480027,3.0,0.4171181366753104,0.08913203842420843,not_gating,,,,,,,,,,"category==ROI: family-wise context, not a profile test"
sum_selectivity,ctrl_LvsR,control_asymmetry,lr,face_FFA,,,,,separate_family,-0.22140066146990944,-0.7036769327820716,-0.22140066146990944,0.00039996000399960006,0.0015998400159984002,-1.1481635624232909,-0.36523144558817,34.0,,
sum_selectivity,ctrl_LvsR,control_asymmetry,lr,house_PPA,,,,,separate_family,-0.10278817694441215,-0.502018672998573,-0.10278817694441215,0.0036996300369963003,0.004932840049328401,-0.9433392242743692,-0.17834718136207553,38.0,,
sum_selectivity,ctrl_LvsR,control_asymmetry,lr,object_LOC,,,,,separate_family,0.05686293552558604,0.5046832257269657,0.05686293552558604,0.0031996800319968005,0.004932840049328401,0.18031207559749973,0.9533121683289398,38.0,,
sum_selectivity,ctrl_LvsR,control_asymmetry,lr,word_VWFA,,,,,separate_family,0.06658900694596932,0.1676623953347933,0.06658900694596932,0.3625637436256374,0.3625637436256374,-0.1721546577144008,0.5935028716790929,31.0,,
sum_selectivity,ctrl_LvsR,omnibus,lr,ALL,8.652213607279993,3.0,0.034290754852241985,0.12857149828928172,separate_family,,,,,,,,,,
distinctiveness,LH-intact_pt_vs_ctrl,patient_vs_control,l,face_FFA,,,,,not_gating,-0.10163520158288175,-0.30277827907274973,,0.38996100389961,0.77992200779922,-1.0399261798461596,0.38312959988217066,11.0,38.0,
distinctiveness,LH-intact_pt_vs_ctrl,patient_vs_control,l,house_PPA,,,,,not_gating,-0.3199647909086214,-0.43737925320096177,,0.21027897210278973,0.77992200779922,-1.0078817536858469,0.12122402907546186,11.0,38.0,
distinctiveness,LH-intact_pt_vs_ctrl,patient_vs_control,l,object_LOC,,,,,not_gating,-0.015754788701832778,-0.03648918097884482,,0.9126087391260874,0.9126087391260874,-0.7650953455537531,0.6896961687309546,11.0,38.0,
distinctiveness,LH-intact_pt_vs_ctrl,patient_vs_control,l,word_VWFA,,,,,not_gating,-0.06244025843567724,-0.14539087487480723,,0.6759324067593241,0.9012432090124322,-0.862828352502436,0.5348497500432345,11.0,37.0,
distinctiveness,LH-intact_pt_vs_ctrl,omnibus,l,ALL,1.959043861231306,3.0,0.5809506700392917,0.23783982948968985,not_gating,,,,,,,,,,"category==ROI: family-wise context, not a profile test"
distinctiveness,RH-intact_pt_vs_ctrl,patient_vs_control,r,face_FFA,,,,,not_gating,0.17084343331163265,0.46100588844035406,,0.18908109189081093,0.31343532313435324,-0.19657903844320684,1.2383349533611039,11.0,37.0,
distinctiveness,RH-intact_pt_vs_ctrl,patient_vs_control,r,house_PPA,,,,,not_gating,0.3308450872551999,0.4140831765476594,,0.23507649235076492,0.31343532313435324,-0.1487428311162664,1.0556680195981822,11.0,38.0,
distinctiveness,RH-intact_pt_vs_ctrl,patient_vs_control,r,object_LOC,,,,,not_gating,0.04745408354283853,0.09557510848649974,,0.7854214578542146,0.7854214578542146,-0.5596957318248588,0.7251377008873297,11.0,38.0,
