measure,model,comparison,hemi,level,omnibus_chi2,omnibus_df,omnibus_p,mse,gating,diff,cohens_d,delta_log10,p_perm,q_fdr,ci_lo,ci_hi,n_a,n_b,note
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,face_FFA,,,,,not_gating,-1.4327986486321693,-0.24707302061141392,,0.47315268473152683,0.47315268473152683,-0.6575214228682588,0.25099510861597857,12.0,36.0,
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,house_PPA_strict,,,,,not_gating,1.9297766963363392,0.5733023838159111,,0.08489151084891511,0.16978302169783022,-0.2562818355364095,1.2668846409310328,12.0,36.0,
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,object_LOC,,,,,not_gating,2.791105731407322,0.7981134707414242,,0.0211978802119788,0.0847915208479152,0.01869185740903343,1.682774687072357,12.0,36.0,
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,word_VWFA,,,,,not_gating,3.491785580626276,0.45800836174001763,,0.1800819918008199,0.2401093224010932,-0.24762120994688286,1.4686260393785018,12.0,36.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,face_FFA,,,,,not_gating,0.9951635289245004,0.18664841537505297,,0.5824417558244176,0.5824417558244176,-0.3397266765369989,0.9339793365929245,12.0,36.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,house_PPA_strict,,,,,not_gating,7.397430841479198,1.0140786435191014,,0.004199580041995801,0.016798320167983202,0.1360704759227396,1.9700065250736716,12.0,36.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,object_LOC,,,,,not_gating,2.610432783996739,0.6070800223190906,,0.07729227077292271,0.1030563610305636,0.02960091825359006,1.3301535236706323,12.0,36.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,word_VWFA,,,,,not_gating,4.139447097650658,0.6914119809027107,,0.0395960403959604,0.0791920807919208,0.07539637729127517,1.571977880561407,12.0,36.0,
peak_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,face_FFA,,,,,not_gating,-1.2750797554288766,-0.3317582179602237,,0.3398660133986601,0.45315468453154684,-1.0193356823226016,0.318688920944658,11.0,36.0,
peak_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,house_PPA_strict,,,,,not_gating,-1.3962598045054824,-0.5584719969213338,,0.10878912108789121,0.21757824217578242,-1.291098145759569,0.1260648148370701,11.0,36.0,
peak_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,object_LOC,,,,,not_gating,-2.4677721376846034,-0.8376382874031791,,0.019498050194980503,0.07799220077992201,-1.6300060262620004,-0.1759388328919221,11.0,36.0,
peak_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,word_VWFA,,,,,not_gating,-0.23067049890739533,-0.12671975891395698,,0.7190280971902809,0.7190280971902809,-1.0996524788463724,0.7074114152764933,11.0,36.0,
peak_selectivity,LH-intact_pt_vs_ctrl,group_main_effect,l,MEAN_OVER_ROIS,,,,,not_gating,-1.3424455491315888,-0.609764228654587,,0.08209179082091791,,-1.3701602089846479,0.09667668748734116,11.0,36.0,
peak_selectivity,LH-intact_pt_vs_ctrl,omnibus,l,ALL,4.655237513011839,3.0,0.19885442802101078,4.542564922414394,not_gating,,,,,,,,,,"category==ROI: family-wise context, not a profile test"
peak_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,face_FFA,,,,,not_gating,-1.5238068243156917,-0.3678201943524639,,0.3274672532746725,0.43662300436623,-0.9976444515282324,0.24021225181426747,9.0,36.0,
peak_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,house_PPA_strict,,,,,not_gating,-2.066098906278488,-0.7216514086259145,,0.0598940105989401,0.2395760423957604,-1.469204840757722,-0.022498912117193393,9.0,36.0,
peak_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,object_LOC,,,,,not_gating,-1.8006267175179325,-0.5610004271874388,,0.13988601139886012,0.27977202279772023,-1.2842776600066803,0.14024370122557062,9.0,36.0,
peak_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,word_VWFA,,,,,not_gating,-0.10261976844727361,-0.06960827089112949,,0.8516148385161484,0.8516148385161484,-0.9419300768753422,0.7962801919801691,9.0,36.0,
peak_selectivity,RH-intact_pt_vs_ctrl,group_main_effect,r,MEAN_OVER_ROIS,,,,,not_gating,-1.3732880541398478,-0.5898425239357751,,0.12458754124587541,,-1.2605486714913932,0.0787777259309921,9.0,36.0,
peak_selectivity,RH-intact_pt_vs_ctrl,omnibus,r,ALL,3.0754995448176534,3.0,0.38013048186020115,5.384161036829055,not_gating,,,,,,,,,,"category==ROI: family-wise context, not a profile test"
peak_selectivity,pt_LH_vs_RH,patient_subgroup,lr,face_FFA,,,,,not_gating,-0.9436555300274936,-0.2509553618780963,,0.585041495850415,0.9173082691730827,-1.2574363424553774,0.6079140316124793,11.0,9.0,
peak_selectivity,pt_LH_vs_RH,patient_subgroup,lr,house_PPA_strict,,,,,not_gating,-0.12431303331169019,-0.04668962510182117,,0.9173082691730827,0.9173082691730827,-0.9770395663565781,0.8874683173209511,11.0,9.0,
peak_selectivity,pt_LH_vs_RH,patient_subgroup,lr,object_LOC,,,,,not_gating,0.20684698677562707,0.06374948810701402,,0.8904109589041096,0.9173082691730827,-0.7415884892576217,1.1744979545001306,11.0,9.0,
peak_selectivity,pt_LH_vs_RH,patient_subgroup,lr,word_VWFA,,,,,not_gating,0.34409295705492227,0.15524315979393644,,0.7354264573542646,0.9173082691730827,-0.803735042864157,1.0475647125784486,11.0,9.0,
peak_selectivity,pt_LH_vs_RH,group_main_effect,lr,MEAN_OVER_ROIS,,,,,not_gating,-0.12925715487715728,-0.05403218016961915,,0.8992100789921008,,-0.9841708282952896,0.876242655712933,11.0,9.0,
peak_selectivity,ctrl_LvsR,control_asymmetry,lr,face_FFA,,,,,separate_family,-1.1923825989143073,-0.30280415863982846,,0.07579242075792421,0.07579242075792421,-0.6863905986328115,0.021120328318053456,36.0,,
peak_selectivity,ctrl_LvsR,control_asymmetry,lr,house_PPA_strict,,,,,separate_family,-0.7941521350846963,-0.42367851604135953,,0.016998300169983,0.034596540345965404,-0.7965313345705745,-0.11237234528123556,36.0,,
peak_selectivity,ctrl_LvsR,control_asymmetry,lr,object_LOC,,,,,separate_family,0.8739924069422975,0.4234742253466728,,0.017298270172982702,0.034596540345965404,0.0881984120238848,0.8973611495198358,36.0,,
peak_selectivity,ctrl_LvsR,control_asymmetry,lr,word_VWFA,,,,,separate_family,0.4721436875150433,0.3600365246377543,,0.039896010398960104,0.05319468053194681,0.01792644834155792,0.794894371989173,36.0,,
peak_selectivity,ctrl_LvsR,group_main_effect,lr,MEAN_OVER_ROIS,,,,,not_gating,-0.16009965988541575,-0.13144591372284964,,0.43495650434956507,,-0.48629771900295066,0.19886476751796664,36.0,,
peak_selectivity,ctrl_LvsR,omnibus,lr,ALL,11.129604862449842,3.0,0.011045304475078363,4.749562679245713,separate_family,,,,,,,,,,
selective_voxels,LH-intact_pt_vs_ctrl,patient_vs_control,l,face_FFA,,,,,not_gating,-1.9728145011133122,-0.20842106641671249,,0.5507449255074492,0.5507449255074492,-1.098895127488986,0.6049860568090474,11.0,36.0,
selective_voxels,LH-intact_pt_vs_ctrl,patient_vs_control,l,house_PPA_strict,,,,,not_gating,-5.314492305544693,-0.6696839411065925,,0.060693930606939304,0.12138786121387861,-1.5055758880633066,0.0477627513434301,11.0,36.0,
selective_voxels,LH-intact_pt_vs_ctrl,patient_vs_control,l,object_LOC,,,,,not_gating,-33.304646473695385,-1.3882830972127451,,0.00029997000299970003,0.0011998800119988001,-2.4542886463851175,-0.5973586446789324,11.0,36.0,
selective_voxels,LH-intact_pt_vs_ctrl,patient_vs_control,l,word_VWFA,,,,,not_gating,-5.507635456976459,-0.34646136430836605,,0.32256774322567744,0.43009032430090327,-1.1647128955019608,0.4022749734568299,11.0,36.0,
selective_voxels,LH-intact_pt_vs_ctrl,group_main_effect,l,MEAN_OVER_ROIS,,,,,not_gating,-11.52489718433246,-1.1279113820672424,,0.0023997600239976003,,-2.058013614502022,-0.35335800595483285,11.0,36.0,
selective_voxels,LH-intact_pt_vs_ctrl,omnibus,l,ALL,28.741791461447015,3.0,2.5373874931224173e-06,187.7235528079799,not_gating,,,,,,,,,,"category==ROI: family-wise context, not a profile test"
selective_voxels,RH-intact_pt_vs_ctrl,patient_vs_control,r,face_FFA,,,,,not_gating,-2.4423729391546622,-0.1967168500907992,,0.6012398760123988,0.6012398760123988,-1.043184027708532,0.6069257835313576,9.0,36.0,
selective_voxels,RH-intact_pt_vs_ctrl,patient_vs_control,r,house_PPA_strict,,,,,not_gating,-10.716402053102053,-1.827766356970829,,9.999000099990002e-05,0.00039996000399960006,-2.882259814179561,-1.1288173737356002,9.0,36.0,
selective_voxels,RH-intact_pt_vs_ctrl,patient_vs_control,r,object_LOC,,,,,not_gating,-29.928772897453044,-1.2301337988427299,,0.0025997400259974,0.0051994800519948,-1.983287830294827,-0.6161652462594548,9.0,36.0,
selective_voxels,RH-intact_pt_vs_ctrl,patient_vs_control,r,word_VWFA,,,,,not_gating,-5.45502222041587,-0.3408486943686706,,0.3645635436456354,0.48608472486084725,-1.0888344817441613,0.3915642728033139,9.0,36.0,
selective_voxels,RH-intact_pt_vs_ctrl,group_main_effect,r,MEAN_OVER_ROIS,,,,,not_gating,-12.135642527531424,-1.3011247120835294,,0.0010998900109989002,,-2.1679846990053444,-0.6013379135748254,9.0,36.0,
selective_voxels,RH-intact_pt_vs_ctrl,omnibus,r,ALL,14.34102938721599,3.0,0.0024758579334743873,229.5399552081125,not_gating,,,,,,,,,,"category==ROI: family-wise context, not a profile test"
selective_voxels,pt_LH_vs_RH,patient_subgroup,lr,face_FFA,,,,,not_gating,-6.982620117260211,-0.5266050868314052,,0.24857514248575144,0.8379162083791621,-1.7001772782404119,0.3577533438594476,11.0,9.0,
selective_voxels,pt_LH_vs_RH,patient_subgroup,lr,house_PPA_strict,,,,,not_gating,1.6777791105732813,0.22055832299448738,,0.6284371562843716,0.8379162083791621,-0.6592749149112965,1.2532171908619227,11.0,9.0,
