measure,model,comparison,hemi,level,omnibus_chi2,omnibus_df,omnibus_p,mse,gating,diff,cohens_d,delta_log10,p_perm,q_fdr,ci_lo,ci_hi,n_a,n_b,note
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,face_FFA,,,,,not_gating,-2.257979609909448,-0.381333619961798,,0.24537546245375463,0.49075092490750927,-0.8217771068624217,0.08973707273768479,13.0,38.0,
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,house_PPA,,,,,not_gating,-1.0188894394826207,-0.1760610178781522,,0.5928407159284071,0.5928407159284071,-0.8870688740944439,0.4991532343668799,13.0,38.0,
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,object_LOC,,,,,not_gating,2.4540116610447793,0.7113471943435705,,0.033996600339966,0.135986401359864,-0.03586273937532436,1.5579273466131949,13.0,38.0,
peak_distance,LH-intact_pt_vs_ctrl,patient_vs_control,l,word_VWFA,,,,,not_gating,1.922207378072585,0.2627569353675388,,0.42425757424257576,0.5656767656567677,-0.37287017491152336,1.078538093764725,13.0,38.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,face_FFA,,,,,not_gating,0.35983432956538053,0.0637435946848815,,0.8515148485151485,0.8515148485151485,-0.4625186126545984,0.7524091513095379,12.0,38.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,house_PPA,,,,,not_gating,0.5282838490562867,0.07963414981976043,,0.8131186881311869,0.8515148485151485,-0.6551343282709989,0.791801210515106,12.0,38.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,object_LOC,,,,,not_gating,3.011889572588701,0.7190759782336011,,0.0362963703629637,0.1451854814518548,0.1601393280418864,1.4173064592789124,12.0,38.0,
peak_distance,RH-intact_pt_vs_ctrl,patient_vs_control,r,word_VWFA,,,,,not_gating,3.3421995110900635,0.5535351140009721,,0.098990100989901,0.197980201979802,-0.039556064116003174,1.3906011020652618,12.0,38.0,
sum_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,face_FFA,,,,,not_gating,-0.02779392738329811,-0.10602280745257316,-0.02779392738329811,0.7459254074592541,0.7459254074592541,-0.8485270469765592,0.6782287794105037,13.0,38.0,
sum_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,house_PPA,,,,,not_gating,-0.11089884398939653,-0.634785273749728,-0.11089884398939653,0.052094790520947905,0.10418958104189581,-1.4766060377396195,0.10576219785099866,13.0,38.0,
sum_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,object_LOC,,,,,not_gating,-0.17445311024371213,-1.2909397627718682,-0.17445311024371213,0.00019998000199980003,0.0007999200079992001,-2.1938773878461273,-0.5419575416695058,13.0,38.0,
sum_selectivity,LH-intact_pt_vs_ctrl,patient_vs_control,l,word_VWFA,,,,,not_gating,-0.09450566936865379,-0.1354159447629743,-0.09450566936865379,0.7033296670332967,0.7459254074592541,-0.965076614167882,0.46101790263223336,13.0,38.0,
sum_selectivity,LH-intact_pt_vs_ctrl,omnibus,l,ALL,0.8065603740919127,3.0,0.8478972434932576,0.1307977725610279,not_gating,,,,,,,,,,"category==ROI: family-wise context, not a profile test"
sum_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,face_FFA,,,,,not_gating,0.061413347658274775,0.1944479046733122,0.061413347658274775,0.5624437556244376,0.7309269073092691,-0.5270014980135184,0.8891913605992864,12.0,38.0,
sum_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,house_PPA,,,,,not_gating,-0.0789503952696391,-0.5299631559949282,-0.0789503952696391,0.11628837116288371,0.23257674232576742,-1.2809503805767226,0.16966596327785155,12.0,38.0,
sum_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,object_LOC,,,,,not_gating,-0.08671100074300009,-0.680371979796469,-0.08671100074300009,0.0446955304469553,0.1787821217878212,-1.59793277002769,0.04378468853681882,12.0,38.0,
sum_selectivity,RH-intact_pt_vs_ctrl,patient_vs_control,r,word_VWFA,,,,,not_gating,0.051581906398048494,0.11933290023982489,0.051581906398048494,0.7309269073092691,0.7309269073092691,-0.5652756642521307,0.6934177958752892,12.0,37.0,
sum_selectivity,RH-intact_pt_vs_ctrl,omnibus,r,ALL,2.8441825950271866,3.0,0.4162782254168107,0.06190064108080758,not_gating,,,,,,,,,,"category==ROI: family-wise context, not a profile test"
sum_selectivity,ctrl_LvsR,control_asymmetry,lr,face_FFA,,,,,separate_family,-0.07465696074420532,-0.2589238510524573,-0.07465696074420532,0.11848815118488151,0.15798420157984203,-0.7447241345889879,0.05217121014842187,38.0,,
sum_selectivity,ctrl_LvsR,control_asymmetry,lr,house_PPA,,,,,separate_family,-0.05216432349369618,-0.5226958467123265,-0.05216432349369618,0.0026997300269973002,0.0059994000599940004,-0.9691993738620567,-0.19232800515906537,38.0,,
sum_selectivity,ctrl_LvsR,control_asymmetry,lr,object_LOC,,,,,separate_family,0.029923480021901542,0.528351468537447,0.029923480021901542,0.0029997000299970002,0.0059994000599940004,0.19380943976674178,0.9685152365466793,38.0,,
sum_selectivity,ctrl_LvsR,control_asymmetry,lr,word_VWFA,,,,,separate_family,-0.00364380513738473,-0.006805309020365118,-0.00364380513738473,0.9875012498750125,0.9875012498750125,-0.24196078568128015,0.556101933114989,37.0,,
sum_selectivity,ctrl_LvsR,omnibus,lr,ALL,1.5180169261642413,3.0,0.678118319720316,0.08631330826223133,separate_family,,,,,,,,,,
