category,hemi,direction,n_voxels,volume_mm3,pct_otc,peak_t,peak_x_mni,peak_y_mni,peak_z_mni,max_corrp
object,l,ctrl>pt,362,2896,3.19,4.33,-54.0,-70.0,-4.0,0.9982
object,l,ctrl>pt,64,512,0.56,3.91,-46.0,-84.0,16.0,0.9849
object,l,ctrl>pt,2,16,0.02,2.36,-42.0,-78.0,-10.0,0.9504
object,l,ctrl>pt,9,72,0.08,4.12,-30.0,-42.0,-20.0,0.9657
house,r,ctrl>pt,476,3808,4.12,3.41,32.0,-78.0,22.0,0.9928
house,r,ctrl>pt,1,8,0.01,3.41,30.0,-50.0,-10.0,0.952
house,r,ctrl>pt,3,24,0.03,3.41,32.0,-44.0,-4.0,0.9531
word,r,pt>ctrl,1,8,0.01,4.06,22.0,-62.0,40.0,0.951
word,r,pt>ctrl,493,3944,4.27,5.83,36.0,-44.0,-14.0,0.9959
word,r,pt>ctrl,4,32,0.03,4.26,24.0,-66.0,40.0,0.9541
word,r,pt>ctrl,3,24,0.03,4.11,26.0,-64.0,36.0,0.9533
word,r,pt>ctrl,84,672,0.73,5.32,44.0,-76.0,14.0,0.9852
word,r,pt>ctrl,78,624,0.68,7.42,48.0,-64.0,-8.0,0.9991
