category,hemi,direction,n_voxels,volume_mm3,pct_otc,peak_t,peak_x_mni,peak_y_mni,peak_z_mni,max_corrp
house,l,ctrl>pt,1,8,0.01,2.84,-36.0,-78.0,24.0,0.9507
house,l,ctrl>pt,16,128,0.14,3.35,-30.0,-76.0,24.0,0.9668
house,l,ctrl>pt,136,1088,1.2,4.0,-30.0,-50.0,-4.0,0.9938
house,r,ctrl>pt,110,880,0.95,3.9,30.0,-44.0,-4.0,0.9915
house,r,ctrl>pt,570,4560,4.94,3.77,28.0,-78.0,16.0,0.9975
house,r,ctrl>pt,79,632,0.68,3.19,32.0,-34.0,-14.0,0.9792
object,l,ctrl>pt,1081,8648,9.53,4.51,-54.0,-72.0,-6.0,0.9999
object,l,ctrl>pt,214,1712,1.89,4.47,-30.0,-42.0,-22.0,0.9966
object,r,ctrl>pt,54,432,0.47,3.86,34.0,-56.0,-10.0,0.9744
word,r,pt>ctrl,1,8,0.01,4.33,22.0,-34.0,-20.0,0.9515
word,r,pt>ctrl,7,56,0.06,5.02,26.0,-36.0,-24.0,0.9666
word,r,pt>ctrl,377,3016,3.27,5.27,44.0,-56.0,-20.0,0.991
word,r,pt>ctrl,27,216,0.23,4.54,40.0,-72.0,14.0,0.9721
word,r,pt>ctrl,51,408,0.44,6.46,48.0,-64.0,-8.0,0.9956
