measure,cell,level,ctrl_L_n,ctrl_L_mean,ctrl_L_sd,ctrl_R_n,ctrl_R_mean,ctrl_R_sd,lh_n,lh_mean_z,lh_p_vs0,rh_n,rh_mean_z,rh_p_vs0,ptvspt_diff_z,ptvspt_d,ptvspt_p_mwu,ptvspt_p,q_lh_p_vs0,q_rh_p_vs0,q_ptvspt_p
peak selectivity,word_VWFA,-,36,5.439032151736438,1.5905961889052498,36,4.966888464221394,1.3689097841954532,12,-0.23078895692923077,0.5976402359764024,12,0.08791852282377016,0.8245175482451755,-0.31870747975300096,-0.22310968726710523,0.5443701458566098,0.5949405059494051,0.5976402359764024,0.8245175482451755,0.6701329867013298
peak selectivity,face_FFA,-,36,10.068475911448552,3.816663506719285,36,11.26085851036286,4.270750781517143,12,-0.37953959512728924,0.20207979202079793,12,-0.11081801858647981,0.6858314168583142,-0.2687215765408094,-0.28531363545011473,0.623604884395689,0.48855114488551143,0.26943972269439725,0.8245175482451755,0.6701329867013298
peak selectivity,house_PPA_strict,-,36,7.4852284847016115,2.477136682009144,36,8.279380619786307,2.8853101277355195,12,-0.6386587420120705,0.0537946205379462,12,-0.4495116952823472,0.18088191180881913,-0.18914704672972332,-0.17672862773737916,0.7950121719642381,0.6701329867013298,0.1075892410758924,0.7235276472352765,0.6701329867013298
peak selectivity,object_LOC,-,36,12.860406382527286,2.810673329181537,36,11.986413975584988,3.2406590676829135,12,-1.0089027743002636,0.0173982601739826,12,-0.3142773591960503,0.37766223377662234,-0.6946254151042133,-0.5701315108120774,0.3123214216762161,0.1750824917508249,0.0695930406959304,0.7553244675532447,0.6701329867013298
number of selective voxels,word_VWFA,-,36,30.76708459432433,14.867274715239347,36,26.541585926597104,15.969534801077819,12,-0.4253332092162916,0.2548745125487451,12,-0.14652798869898384,0.624937506249375,-0.2788052205173077,-0.24368125951863476,0.5833604667027033,0.5565443455654434,0.3398326833983268,0.8332500083325001,0.6040395960403959
number of selective voxels,face_FFA,-,36,26.168878674519316,8.536680665067003,36,33.62105722982088,11.886203452276208,12,-0.2652562087331883,0.5128487151284872,12,0.010452842320928279,0.9779022097790221,-0.2757090510541166,-0.21122003655998284,0.623604884395689,0.6040395960403959,0.5128487151284872,0.9779022097790221,0.6040395960403959
number of selective voxels,house_PPA_strict,-,36,22.964585577435876,7.5378779183700875,36,26.688716214419955,6.051864262390162,12,-0.7396942215474849,0.04989501049895011,12,-1.3470303024202073,0.0020997900209979003,0.6073360808727224,0.548135937157067,0.1748533068932927,0.18908109189081093,0.09979002099790021,0.008399160083991601,0.38816118388161186
number of selective voxels,object_LOC,-,36,127.39982791038662,19.83852969869902,36,121.63691079962759,25.041704720999807,12,-1.8599982345867672,0.006999300069993001,12,-1.0774763676335217,0.0044995500449955,-0.7825218669532454,-0.5553405121090987,0.2602362026171888,0.19408059194080593,0.027997200279972004,0.008999100089991,0.38816118388161186
overall separability,word_VWFA,-,36,0.703120345351867,0.36106093597389066,36,0.5552952034571486,0.37753306605358683,12,-0.3482864841621182,0.24127587241275872,12,0.5594684648919913,0.041495850414958506,-0.9077549490541095,-1.0062533352530862,0.040404119588223694,0.0235976402359764,0.48255174482551744,0.16598340165983402,0.0943905609439056
overall separability,face_FFA,-,36,0.7355614008995768,0.2884079230515852,36,0.6351304199726185,0.295520777278198,12,-0.45926310874995974,0.201979802019798,12,0.42639080701268944,0.2725727427257274,-0.8856539157626492,-0.7200635123196503,0.11235119769046395,0.09059094090590941,0.48255174482551744,0.3634303236343032,0.18118188181181882
overall separability,house_PPA_strict,-,36,0.36134500273925196,0.23750461994927638,36,0.3088970524215585,0.24242895307825404,12,-0.1389340221926211,0.7134286571342866,12,0.49815217572178433,0.1324867513248675,-0.6370861979144055,-0.5231724104526604,0.2602362026171888,0.21647835216478353,0.7134286571342866,0.264973502649735,0.288637802886378
overall separability,object_LOC,-,36,1.106235707012782,0.2982215251896017,36,1.2030845070951544,0.3836625813513265,12,-0.33966648825336665,0.41155884411558846,12,-0.21477215075334752,0.459054094590541,-0.12489433750001913,-0.10234077799694653,1.0,0.8032196780321967,0.5487451254874512,0.459054094590541,0.8032196780321967
between-category similarity,word_VWFA,face-word,36,0.932986236713903,0.3729803873073225,36,0.7367301414814973,0.4215319384422635,12,-0.11725642729628298,0.7590240975902409,12,0.08182887782193687,0.6897310268973103,-0.19908530511821987,-0.1869984346390772,0.8852339144732017,0.6542345765423457,0.9587672811666201,0.777740407777404,0.9624037596240376
between-category similarity,word_VWFA,house-word,36,0.2864237193276386,0.5211563739165419,36,-0.07226809174671825,0.5862923779968432,12,0.18559321744255908,0.5144485551444855,12,1.0950760923678677,0.00039996000399960006,-0.9094828749253087,-1.1003427014840714,0.02257606252313358,0.0124987501249875,0.7716728327167283,0.009599040095990401,0.0999900009999
between-category similarity,word_VWFA,object-word,36,0.7488203299380475,0.5120727919893052,36,0.42839660817900554,0.46927287322301114,12,-0.46218242485357225,0.17418258174182583,12,0.9275492217871713,0.0217978202179782,-1.3897316466407434,-1.2164208370149958,0.01657492674985327,0.008099190080991902,0.582021797820218,0.10638936106389361,0.09719028097190283
between-category similarity,word_VWFA,face-house,36,0.4601762547454743,0.5194895995357298,36,0.40528689785310584,0.5440384360163869,12,-0.2805783706579204,0.1416858314168583,12,0.3705559714844145,0.10718928107189281,-0.6511343421423349,-0.972845887496072,0.03508911609404786,0.030096990300969902,0.582021797820218,0.29943672299436724,0.1805819418058194
between-category similarity,word_VWFA,face-object,36,0.7355787981328658,0.3932726816817023,36,0.8488389477637761,0.3917877903519454,12,-0.41609232549555336,0.3063693630636936,12,-0.3122244994232157,0.384961503849615,-0.10386782607233769,-0.08150228391325122,0.7950121719642381,0.835916408359164,0.582021797820218,0.615938406159384,0.9624037596240376
between-category similarity,word_VWFA,house-object,36,1.0547367332532724,0.5666256512349551,36,0.9847867172122245,0.4930183923513375,12,-0.4613950479495012,0.0938906109389061,12,0.15462746634573393,0.591040895910409,-0.6160225142952351,-0.6747595105721569,0.1748533068932927,0.11238876112388761,0.582021797820218,0.7465779737815692,0.38533289528190035
between-category similarity,face_FFA,face-word,36,0.7588190693942988,0.3189860422278343,36,0.41946212471432975,0.38775175464063166,12,-1.067369172600746,0.010198980101989802,12,1.4914054205633802,0.0012998700129987,-2.5587745931641264,-2.200555194818223,0.00012334575440397442,9.999000099990002e-05,0.24477552244775524,0.0155984401559844,0.0023997600239976003
between-category similarity,face_FFA,house-word,36,0.43811913138075753,0.4641834840092926,36,0.36828053749219963,0.40979950672720006,12,0.28499147885811743,0.29927007299270075,12,0.25899888367900975,0.5292470752924707,0.02599259517910768,0.022001636888023528,0.9309874465595671,0.9584041595840416,0.582021797820218,0.7056627670566277,0.9624037596240376
between-category similarity,face_FFA,object-word,36,0.7467871371206921,0.33906420337405363,36,0.5150550812150541,0.38960995624342254,12,-0.06245096836010779,0.8954104589541045,12,0.8921260682900783,0.055194480551944806,-0.9545770366501861,-0.6320407271927418,0.21449380778351745,0.1334866513348665,0.9768114097681141,0.18923821903523932,0.40045995400459955
between-category similarity,face_FFA,face-house,36,0.581521957766581,0.43213520059974414,36,0.5958129719448705,0.43349628955982256,12,-0.29815701935189,0.22317768223177684,12,-0.3767609485386256,0.20237976202379762,0.07860392918673559,0.08922394188971446,0.9309874465595671,0.8306169383061693,0.582021797820218,0.3900533023620715,0.9624037596240376
between-category similarity,face_FFA,face-object,36,0.7221861953428238,0.31843282179217725,36,0.6653393999891495,0.3637995679443059,12,-0.722177212682679,0.0704929507049295,12,0.22264598330792248,0.5201479852014799,-0.9448231959906015,-0.7701932881533167,0.08853377201422956,0.0688931106889311,0.582021797820218,0.7056627670566277,0.33068693130686927
between-category similarity,face_FFA,house-object,36,1.1659349143923077,0.501094181918243,36,1.2468324044801082,0.4401592551424692,12,-0.41221637400390093,0.20387961203879612,12,-0.4399404594125946,0.21127887211278873,0.027724085408693644,0.025325656278058228,0.9309874465595671,0.9521047895210479,0.582021797820218,0.3900533023620715,0.9624037596240376
between-category similarity,house_PPA_strict,face-word,36,0.8904837556559608,0.4490798195296518,36,0.7077430177224423,0.46357871043111604,12,-0.4833917148008138,0.15878412158784122,12,-0.08452041438794251,0.712928707129287,-0.3988713004128713,-0.4120398254007824,0.40250382378200356,0.3170682931706829,0.582021797820218,0.777740407777404,0.7483251674832517
