hemi,analysis,level,ctrl,pt,diff,p,n_ctrl,n_pt,sd_ctrl,sd_pt,sd_ratio,p_sd
l,pair,face-house,-0.3828333929960691,-0.37790607564589557,0.0049273173501735434,0.912008799120088,36,12,,,,
l,pair,face-object,-0.317127708434924,-0.19225360832890884,0.12487410010601516,0.09609039096090391,36,12,,,,
l,pair,face-word,0.03779508258340734,-0.0794828696336229,-0.11727795221703025,0.038396160383961604,36,12,,,,
l,pair,house-object,-0.1533478061740799,-0.1095100232130774,0.04383778296100249,0.46195380461953806,36,12,,,,
l,pair,house-word,-0.6843912269668111,-0.5866470619037464,0.09774416506306471,0.07789221077892211,36,12,,,,
l,pair,object-word,-0.2227042863751965,-0.3515223162225593,-0.12881802984736282,0.039396060393960604,36,12,,,,
l,heterogeneity,mean_r,0.7026375219549634,0.4192422048409204,-0.28339531711404303,9.999000099990002e-05,36,12,,,,
l,heterogeneity,boot_sd,0.08813417280960563,0.19177235993519867,0.10363818712559304,0.043495650434956505,36,12,,,,
l,per_category,face,-0.22072200628252858,-0.2165475178694757,0.004174488413052874,0.8622137786221378,36,12,0.07367064912316915,0.05979483428819394,0.8116507048583705,0.8441155884411559
l,per_category,house,-0.40685747537898664,-0.35802105358757313,0.04883642179141351,0.0365963403659634,36,12,0.06077420713246883,0.08899765727194399,1.46439849191215,0.07289271072892711
l,per_category,object,-0.23105993366140012,-0.21776198258818183,0.013297951073218295,0.599040095990401,36,12,0.06692518847305419,0.09997034594329413,1.4937626359251086,0.11018898110188981
l,per_category,word,-0.2897668102528667,-0.3392174159199762,-0.04945060566710946,0.047595240475952406,36,12,0.048656713036986786,0.1230939516893952,2.5298451951701786,0.029697030296970302
l,cross_group,sub-004,0.7519417613007096,0.608418788313073,0.1435229729876366,,36,12,,,,
l,cross_group,sub-005,0.7742815501841493,0.4419697077509246,0.33231184243322476,,36,12,,,,
l,cross_group,sub-008,0.3545661571739898,0.39084975883108014,-0.036283601657090325,,36,12,,,,
l,cross_group,sub-039,0.7030193945724736,0.5803330679956807,0.1226863265767929,,36,12,,,,
l,cross_group,sub-074,0.5462465668470471,0.3979893894658242,0.1482571773812229,,36,12,,,,
l,cross_group,sub-075,0.2303332543908066,0.13731463465050012,0.09301861974030648,,36,12,,,,
