hemi,analysis,level,ctrl,pt,diff,p,n_ctrl,n_pt,sd_ctrl,sd_pt,sd_ratio,p_sd
l,pair,face-house,0.9976940550601615,0.978835208439922,-0.01885884662023951,0.7648235176482352,38,13,,,,
l,pair,face-object,1.1443407757321782,1.2043540539816198,0.06001327824944158,0.46045395460453953,38,13,,,,
l,pair,face-word,1.1758624613773523,1.068435538706627,-0.10742692267072518,0.20037996200379962,38,13,,,,
l,pair,house-object,1.168804463182236,1.1899993870835872,0.021194923901351137,0.7645235476452354,38,13,,,,
l,pair,house-word,0.8701093139379162,0.8422195553576551,-0.027889758580261104,0.7074292570742926,38,13,,,,
l,pair,object-word,1.1551134344180678,1.1023911493468943,-0.05272228507117349,0.5273472652734726,38,13,,,,
l,heterogeneity,mean_r,0.5609564365997299,0.4173373340639218,-0.14361910253580812,0.007999200079992,38,13,,,,
l,heterogeneity,boot_sd,0.14911010168131236,0.1834518065386034,0.034341704857291044,0.19888011198880112,38,13,,,,
l,per_category,face,1.105965764056564,1.0838749337093896,-0.022090830347174517,0.7564243575642435,38,13,0.16645344837914688,0.3183636733436635,1.912628884794842,0.0024997500249975004
l,per_category,house,1.0122026107267714,1.0036847169603882,-0.008517893766383233,0.8929107089291071,38,13,0.16531112464446276,0.265542649579709,1.6063205071698337,0.022997700229977002
l,per_category,object,1.156086224444161,1.1655815301373673,0.009495305693206335,0.8922107789221078,38,13,0.1608713552993321,0.3164055865580472,1.9668236521617768,0.0020997900209979003
l,per_category,word,1.0670284032444457,1.0043487478037254,-0.0626796554407203,0.39376062393760625,38,13,0.17606721973288636,0.34771126411815445,1.9748779167733284,0.014198580141985802
l,cross_group,sub-004,0.6767743542231323,0.5849684755879171,0.09180587863521517,,38,13,,,,
l,cross_group,sub-005,0.6968838492436223,0.5166733064991801,0.18021054274444226,,38,13,,,,
l,cross_group,sub-008,0.28951479070907843,0.34820581402390466,-0.05869102331482623,,38,13,,,,
l,cross_group,sub-039,0.6853871445831047,0.6267495838287592,0.05863756075434545,,38,13,,,,
l,cross_group,sub-074,0.46008909228733086,0.3228956979386846,0.13719339434864625,,38,13,,,,
l,cross_group,sub-075,0.11583151283282019,0.02086424755908493,0.09496726527373525,,38,13,,,,
l,cross_group,sub-077,0.6951931418344193,0.5185640561516948,0.1766290856827245,,38,13,,,,
l,cross_group,sub-079,0.6102838863428562,0.5868440234907534,0.023439862852102866,,38,13,,,,
l,cross_group,sub-089,0.3642470445078574,0.45498931569335754,-0.09074227118550016,,38,13,,,,
l,cross_group,sub-091,0.587147888670502,0.5206475019258511,0.06650038674465097,,38,13,,,,
l,cross_group,sub-098,0.07863249977323827,0.17282334881716768,-0.09419084904392941,,38,13,,,,
l,cross_group,sub-101,0.37213351036304515,0.16897364079530822,0.20315986956773693,,38,13,,,,
l,cross_group,sub-109,0.6307658932656764,0.5821863305193192,0.04857956274635722,,38,13,,,,
l,pairwise_matrix,sd_offdiag,,0.3853813521704972,,,38,13,,,,
r,pair,face-house,1.0599227720288547,0.9914492943682097,-0.06847347766064493,0.3177682231776822,38,12,,,,
r,pair,face-object,1.2771596788012136,1.1963668142789485,-0.08079286452226508,0.28357164283571645,38,12,,,,
r,pair,face-word,1.0825482404134086,1.1264087817308193,0.043860541317410684,0.5842415758424158,38,12,,,,
r,pair,house-object,1.2236197333205259,1.1787690877337127,-0.044850645586813176,0.5385461453854614,38,12,,,,
r,pair,house-word,0.7914429978234098,0.8762739093755373,0.08483091155212752,0.2997700229977002,38,12,,,,
r,pair,object-word,1.0649772844643122,1.0828815156269131,0.01790423116260098,0.8232176782321767,38,12,,,,
r,heterogeneity,mean_r,0.6484572573017946,0.3250131725032544,-0.3234440847985402,9.999000099990002e-05,38,12,,,,
r,heterogeneity,boot_sd,0.10835004776754843,0.25657943533805544,0.14822938757050702,0.03569643035696431,38,12,,,,
r,per_category,face,1.1398768970811588,1.1047416301259925,-0.03513526695516633,0.589041095890411,38,12,0.18182354540799106,0.24326110870454581,1.3378966302669764,0.2233776622337766
r,per_category,house,1.0249951677242635,1.0154974304924866,-0.009497737231776826,0.887011298870113,38,12,0.19225976592381164,0.2186600144347926,1.1373155136444035,0.3852614738526147
r,per_category,object,1.1885855655286839,1.1526724725465247,-0.03591309298215917,0.5671432856714329,38,12,0.1681238434527327,0.23995946455090067,1.4272780090134225,0.14338566143385661
r,per_category,word,0.9796561742337102,1.0285214022444233,0.048865228010713135,0.503949605039496,38,12,0.21537037043967752,0.23477664195470754,1.0901065057157686,0.4393560643935606
r,cross_group,sub-010,0.7471946631719458,0.4330099600044159,0.31418470316752994,,38,12,,,,
r,cross_group,sub-021,0.42373394147798027,0.3458726766387796,0.0778612648392007,,38,12,,,,
r,cross_group,sub-044,0.70473775950166,0.5529853553234404,0.15175240417821956,,38,12,,,,
r,cross_group,sub-066,-0.09980601908225174,-0.01905314110501468,-0.08075287797723707,,38,12,,,,
r,cross_group,sub-069,0.6228995549556573,0.5403418819701017,0.08255767298555561,,38,12,,,,
r,cross_group,sub-076,0.13374705786396882,-0.057819871441790786,0.1915669293057596,,38,12,,,,
r,cross_group,sub-078,0.7734669286839226,0.4958569313521307,0.2776099973317919,,38,12,,,,
r,cross_group,sub-082,0.6672152045904421,0.3811794519017744,0.28603575268866777,,38,12,,,,
r,cross_group,sub-090,0.5772048129413949,0.47823922624652176,0.09896558669487315,,38,12,,,,
r,cross_group,sub-092,0.6779367013566517,0.5429448279068153,0.13499187344983643,,38,12,,,,
r,cross_group,sub-099,0.7644400252385771,0.4636029603112991,0.300837064927278,,38,12,,,,
