metric,category,ctrl_M,ctrl_SD,ci_lo,ci_hi,otc_M,otc_SD,percentile,inside_ci,n_ctrl,n_otc
Geometry Preservation,face,0.7438760291572288,0.30487204855022176,0.5387059827018912,0.8996505355973595,0.7245157536939669,0.28114112336323455,38.49,True,9,5
Geometry Preservation,house,0.3994217610305957,0.5279820685959927,0.07986212668191553,0.7223694873914054,0.08031490034144304,0.48558701217111433,2.54,True,9,5
Geometry Preservation,object,0.5309454959354785,0.39451191981340356,0.2608701109020471,0.7316753079812666,0.39588456860876853,0.31013165068521487,14.2,True,9,5
Geometry Preservation,word,0.7671144217482482,0.21534690168707457,0.6177417969879404,0.8958362322826123,0.5416632866874437,0.3738312187422403,0.2,False,8,4
MDS Shift,face,0.19066579198793746,0.1352252251851794,0.10957590580665617,0.276683466572088,0.21960333372285318,0.21938770936450092,75.57000000000001,True,9,5
MDS Shift,house,0.2861263891224997,0.3071219164386377,0.11757713748111137,0.4908965776492857,0.36027387393010957,0.28568701354271836,78.5,True,9,5
MDS Shift,object,0.09802838033370621,0.07503278524392244,0.05546932085102218,0.14748134121111242,0.10382229905345675,0.115386822850187,60.79,True,9,5
MDS Shift,word,0.20550495155917087,0.10863728134384429,0.13570425169920824,0.27708913907412475,0.2635642700313242,0.23019896279775165,94.42,True,8,4
RDM Distance,face,1.1413827891479056,0.4481990792112777,0.8762105436721908,1.4295191618720764,1.2075051607147897,0.793420203777641,69.12,True,9,5
RDM Distance,house,1.729912856972516,0.8330993760261289,1.2120703602410656,2.235366277667108,2.1156143556864606,0.8402106668771918,93.04,True,9,5
RDM Distance,object,1.2006475198364577,0.7224728459129318,0.7914493267850369,1.6818835420149056,1.6161757376146824,0.3374687393512674,95.36,True,9,5
RDM Distance,word,1.2547914424986029,0.6047301003190251,0.873946893489449,1.6504623768040518,1.6107697152526343,1.2132545628710234,96.06,True,8,4
Liu Distinctiveness,face,0.7098298614721826,0.38914128391079206,0.5521750004965971,0.8758287316155878,0.801208623513812,0.2880972894708678,86.59,True,21,14
Liu Distinctiveness,house,0.10701944222861833,0.8051031599895812,-0.20583821731773533,0.45030813413180026,0.5519690701763575,0.6541213350190288,99.53,False,22,15
Liu Distinctiveness,object,1.0275574178364313,0.33192593336701587,0.8926311511363313,1.1642254279201618,1.1887663635246641,0.4308612740107461,99.0,False,22,15
Liu Distinctiveness,word,0.5079065328660877,0.3595667236851187,0.3598406501747845,0.657909612923354,0.7757800772032998,0.5050948770592053,99.98,False,21,13
