subject_id,session,hemi,roi,contrast_cat,volume,n_searchmask
sub-001,01,l,face_FFA,face,69.0,10354
sub-001,01,l,face_FFA,house,1226.0,10354
sub-001,01,l,face_FFA,object,5553.0,10354
sub-001,01,l,face_FFA,word,634.0,10354
sub-001,01,l,face_STS,face,8.0,11598
sub-001,01,l,face_STS,house,0.0,11598
sub-001,01,l,face_STS,object,271.0,11598
sub-001,01,l,face_STS,word,44.0,11598
sub-001,01,l,house_PPA,face,2601.0,16812
sub-001,01,l,house_PPA,house,4048.0,16812
sub-001,01,l,house_PPA,object,3898.0,16812
sub-001,01,l,house_PPA,word,832.0,16812
sub-001,01,l,house_TOS,face,1175.0,43974
sub-001,01,l,house_TOS,house,2499.0,43974
sub-001,01,l,house_TOS,object,12425.0,43974
sub-001,01,l,house_TOS,word,1662.0,43974
sub-001,01,l,object_pF,face,8.0,4667
sub-001,01,l,object_pF,house,992.0,4667
sub-001,01,l,object_pF,object,3477.0,4667
sub-001,01,l,object_pF,word,310.0,4667
sub-001,01,l,object_LOC,face,1175.0,43974
sub-001,01,l,object_LOC,house,2499.0,43974
sub-001,01,l,object_LOC,object,12425.0,43974
sub-001,01,l,object_LOC,word,1662.0,43974
sub-001,01,l,word_VWFA,face,69.0,10354
sub-001,01,l,word_VWFA,house,1226.0,10354
sub-001,01,l,word_VWFA,object,5553.0,10354
sub-001,01,l,word_VWFA,word,634.0,10354
sub-001,01,l,word_STG,face,32.0,7552
sub-001,01,l,word_STG,house,0.0,7552
sub-001,01,l,word_STG,object,67.0,7552
sub-001,01,l,word_STG,word,1.0,7552
sub-001,01,l,word_pSTG_liu,face,2.0,6021
sub-001,01,l,word_pSTG_liu,house,0.0,6021
sub-001,01,l,word_pSTG_liu,object,25.0,6021
sub-001,01,l,word_pSTG_liu,word,0.0,6021
sub-001,01,l,word_IFG,face,83.0,8646
sub-001,01,l,word_IFG,house,0.0,8646
sub-001,01,l,word_IFG,object,106.0,8646
sub-001,01,l,word_IFG,word,0.0,8646
sub-001,01,l,evc,face,1085.0,8583
sub-001,01,l,evc,house,906.0,8583
sub-001,01,l,evc,object,3797.0,8583
sub-001,01,l,evc,word,0.0,8583
sub-001,01,r,face_FFA,face,1268.0,10510
sub-001,01,r,face_FFA,house,1172.0,10510
sub-001,01,r,face_FFA,object,2427.0,10510
sub-001,01,r,face_FFA,word,273.0,10510
sub-001,01,r,face_STS,face,471.0,13919
sub-001,01,r,face_STS,house,0.0,13919
sub-001,01,r,face_STS,object,1025.0,13919
sub-001,01,r,face_STS,word,11.0,13919
sub-001,01,r,house_PPA,face,2376.0,17807
sub-001,01,r,house_PPA,house,4468.0,17807
sub-001,01,r,house_PPA,object,3068.0,17807
sub-001,01,r,house_PPA,word,946.0,17807
sub-001,01,r,house_TOS,face,2183.0,42605
sub-001,01,r,house_TOS,house,3678.0,42605
sub-001,01,r,house_TOS,object,12354.0,42605
sub-001,01,r,house_TOS,word,2583.0,42605
sub-001,01,r,object_pF,face,806.0,5712
sub-001,01,r,object_pF,house,1097.0,5712
sub-001,01,r,object_pF,object,2022.0,5712
sub-001,01,r,object_pF,word,255.0,5712
sub-001,01,r,object_LOC,face,2183.0,42605
sub-001,01,r,object_LOC,house,3678.0,42605
sub-001,01,r,object_LOC,object,12354.0,42605
sub-001,01,r,object_LOC,word,2583.0,42605
sub-001,01,r,word_VWFA,face,1268.0,10510
sub-001,01,r,word_VWFA,house,1172.0,10510
sub-001,01,r,word_VWFA,object,2427.0,10510
sub-001,01,r,word_VWFA,word,273.0,10510
sub-001,01,r,word_STG,face,109.0,8036
sub-001,01,r,word_STG,house,0.0,8036
sub-001,01,r,word_STG,object,386.0,8036
sub-001,01,r,word_STG,word,11.0,8036
sub-001,01,r,word_pSTG_liu,face,30.0,6380
sub-001,01,r,word_pSTG_liu,house,0.0,6380
sub-001,01,r,word_pSTG_liu,object,347.0,6380
sub-001,01,r,word_pSTG_liu,word,11.0,6380
sub-001,01,r,word_IFG,face,60.0,7339
sub-001,01,r,word_IFG,house,0.0,7339
sub-001,01,r,word_IFG,object,984.0,7339
sub-001,01,r,word_IFG,word,0.0,7339
sub-001,01,r,evc,face,580.0,9734
sub-001,01,r,evc,house,411.0,9734
sub-001,01,r,evc,object,2579.0,9734
sub-001,01,r,evc,word,2.0,9734
sub-004,01,l,face_FFA,face,169.0,10614
sub-004,01,l,face_FFA,house,107.0,10614
sub-004,01,l,face_FFA,object,2140.0,10614
sub-004,01,l,face_FFA,word,135.0,10614
sub-004,01,l,face_STS,face,96.0,11745
sub-004,01,l,face_STS,house,70.0,11745
sub-004,01,l,face_STS,object,464.0,11745
sub-004,01,l,face_STS,word,48.0,11745
sub-004,01,l,house_PPA,face,150.0,16838
sub-004,01,l,house_PPA,house,1707.0,16838
sub-004,01,l,house_PPA,object,1006.0,16838
sub-004,01,l,house_PPA,word,187.0,16838
sub-004,01,l,house_TOS,face,36.0,44271
sub-004,01,l,house_TOS,house,3535.0,44271
sub-004,01,l,house_TOS,object,4477.0,44271
sub-004,01,l,house_TOS,word,12.0,44271
sub-004,01,l,object_pF,face,30.0,4715
sub-004,01,l,object_pF,house,101.0,4715
sub-004,01,l,object_pF,object,1712.0,4715
sub-004,01,l,object_pF,word,113.0,4715
sub-004,01,l,object_LOC,face,36.0,44271
sub-004,01,l,object_LOC,house,3535.0,44271
sub-004,01,l,object_LOC,object,4477.0,44271
sub-004,01,l,object_LOC,word,12.0,44271
sub-004,01,l,word_VWFA,face,169.0,10614
sub-004,01,l,word_VWFA,house,107.0,10614
sub-004,01,l,word_VWFA,object,2140.0,10614
sub-004,01,l,word_VWFA,word,135.0,10614
sub-004,01,l,word_STG,face,0.0,7736
sub-004,01,l,word_STG,house,69.0,7736
sub-004,01,l,word_STG,object,117.0,7736
sub-004,01,l,word_STG,word,132.0,7736
sub-004,01,l,word_pSTG_liu,face,0.0,6116
sub-004,01,l,word_pSTG_liu,house,68.0,6116
sub-004,01,l,word_pSTG_liu,object,74.0,6116
sub-004,01,l,word_pSTG_liu,word,48.0,6116
sub-004,01,l,word_IFG,face,20.0,8255
sub-004,01,l,word_IFG,house,32.0,8255
sub-004,01,l,word_IFG,object,120.0,8255
sub-004,01,l,word_IFG,word,3.0,8255
sub-004,01,l,evc,face,260.0,8510
sub-004,01,l,evc,house,1121.0,8510
sub-004,01,l,evc,object,369.0,8510
sub-004,01,l,evc,word,0.0,8510
sub-004,02,l,face_FFA,face,929.0,10614
sub-004,02,l,face_FFA,house,265.0,10614
sub-004,02,l,face_FFA,object,2533.0,10614
sub-004,02,l,face_FFA,word,98.0,10614
sub-004,02,l,face_STS,face,218.0,11745
sub-004,02,l,face_STS,house,56.0,11745
sub-004,02,l,face_STS,object,1547.0,11745
sub-004,02,l,face_STS,word,148.0,11745
sub-004,02,l,house_PPA,face,193.0,16838
sub-004,02,l,house_PPA,house,2173.0,16838
sub-004,02,l,house_PPA,object,3203.0,16838
sub-004,02,l,house_PPA,word,102.0,16838
sub-004,02,l,house_TOS,face,322.0,44271
sub-004,02,l,house_TOS,house,718.0,44271
sub-004,02,l,house_TOS,object,9474.0,44271
sub-004,02,l,house_TOS,word,224.0,44271
sub-004,02,l,object_pF,face,249.0,4715
sub-004,02,l,object_pF,house,245.0,4715
sub-004,02,l,object_pF,object,2392.0,4715
sub-004,02,l,object_pF,word,86.0,4715
sub-004,02,l,object_LOC,face,322.0,44271
sub-004,02,l,object_LOC,house,718.0,44271
sub-004,02,l,object_LOC,object,9474.0,44271
