measure,comparison,comparison_name,spec,beta,p,n_group_a,n_group_b,role,paired,age_cap,roi_set,drop_word
peak_z,1,A = LH ctrl        B = LH-intact pt,binA  word+face | house+object,1.3010370795882924,0.03679264147170566,36,12,primary,False,23.0,primary_strict,False
peak_z,1,A = LH ctrl        B = LH-intact pt,binB  word | face+house+object,1.5883466442216683,0.04619076184763048,36,12,primary,False,23.0,primary_strict,False
peak_z,1,A = LH ctrl        B = LH-intact pt,binC  word+face+house | object,1.7031254679515537,0.027594481103779243,36,12,primary,False,23.0,primary_strict,False
peak_z,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>1.96,7.504481835575527,0.011397720455908818,36,12,primary,False,23.0,primary_strict,False
peak_z,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>2.33,6.911819894169065,0.011597680463907219,36,12,primary,False,23.0,primary_strict,False
peak_z,1,A = LH ctrl        B = LH-intact pt,rank  word>face>object=house,0.6984034672330189,0.010197960407918417,36,12,primary,False,23.0,primary_strict,False
peak_z,1,A = LH ctrl        B = LH-intact pt,sign  LI toward lost side z>2.33,-1.4400093333369006,0.4039192161567686,36,12,primary,False,23.0,primary_strict,False
peak_z,1,A = LH ctrl        B = LH-intact pt,"sign  LI toward lost side, thr-free",-1.0241762321778731,0.4563087382523495,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,binA  word+face | house+object,0.9812614037004601,0.23215356928614278,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,binB  word | face+house+object,1.0499267128602146,0.19876024795040992,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,binC  word+face+house | object,0.46849768707520534,0.5972805438912218,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>1.96,5.306185080767108,0.13597280543891221,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>2.33,4.948080610179825,0.1307738452309538,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,rank  word>face>object=house,0.5020749200435359,0.14557088582283542,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,sign  LI toward lost side z>2.33,1.4509077144446352,0.4241151769646071,36,12,primary,False,23.0,primary_strict,False
peak_z,2,A = RH ctrl        B = RH-intact pt,"sign  LI toward lost side, thr-free",1.0988944086459718,0.4495100979804039,36,12,primary,False,23.0,primary_strict,False
peak_z,3,A = LH-intact pt   B = RH-intact pt,binA  word+face | house+object,0.08026391574063751,0.9330133973205359,12,12,primary,False,23.0,primary_strict,False
peak_z,3,A = LH-intact pt   B = RH-intact pt,binB  word | face+house+object,-1.3814110612287642,0.1929614077184563,12,12,primary,False,23.0,primary_strict,False
