test,measure,comparison,comparison_name,spec,estimate,stat,df,p,n_group_a,n_group_b,age_beta,age_p,surg_beta,surg_p,converged,age_cap,roi_set
perm_ols,peak_z,1,A = LH ctrl        B = LH-intact pt,binA  word+face | house+object,1.3010370795882924,,,0.0367926414717056,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,1,A = LH ctrl        B = LH-intact pt,binB  word | face+house+object,1.5883466442216685,,,0.0461907618476304,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,1,A = LH ctrl        B = LH-intact pt,binC  word+face+house | object,1.7031254679515535,,,0.0275944811037792,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>1.96,7.504481835575527,,,0.0113977204559088,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>2.33,6.911819894169065,,,0.0115976804639072,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,1,A = LH ctrl        B = LH-intact pt,rank  word>face>object=house,0.6984034672330189,,,0.0101979604079184,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,1,A = LH ctrl        B = LH-intact pt,sign  LI toward lost side z>2.33,-1.4400093333369006,,,0.4039192161567686,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,1,A = LH ctrl        B = LH-intact pt,"sign  LI toward lost side, thr-free",-1.0241762321778731,,,0.4563087382523495,36,12,,,,,,23.0,primary_strict
lmm,peak_z,1,A = LH ctrl        B = LH-intact pt,omnibus  category x group,,6.161487241043854,3,0.1040124592859041,36,12,0.1912184001110184,0.0168491963705615,,,True,23.0,
perm_ols,peak_z,2,A = RH ctrl        B = RH-intact pt,binA  word+face | house+object,0.98126140370046,,,0.2321535692861427,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,2,A = RH ctrl        B = RH-intact pt,binB  word | face+house+object,1.0499267128602146,,,0.1987602479504099,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,2,A = RH ctrl        B = RH-intact pt,binC  word+face+house | object,0.4684976870752053,,,0.5972805438912218,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>1.96,5.306185080767108,,,0.1359728054389122,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>2.33,4.948080610179825,,,0.1307738452309538,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,2,A = RH ctrl        B = RH-intact pt,rank  word>face>object=house,0.5020749200435359,,,0.1455708858228354,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,2,A = RH ctrl        B = RH-intact pt,sign  LI toward lost side z>2.33,1.4509077144446352,,,0.4241151769646071,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,2,A = RH ctrl        B = RH-intact pt,"sign  LI toward lost side, thr-free",1.0988944086459718,,,0.4495100979804039,36,12,,,,,,23.0,primary_strict
lmm,peak_z,2,A = RH ctrl        B = RH-intact pt,omnibus  category x group,,1.9725340058547665,3,0.5781269005343264,36,12,0.3465143120600722,1.292899918958518e-05,,,True,23.0,
perm_ols,peak_z,3,A = LH-intact pt   B = RH-intact pt,binA  word+face | house+object,0.0802639157406375,,,0.933013397320536,12,12,,,,,,23.0,primary_strict
perm_ols,peak_z,3,A = LH-intact pt   B = RH-intact pt,binB  word | face+house+object,-1.3814110612287642,,,0.1929614077184563,12,12,,,,,,23.0,primary_strict
perm_ols,peak_z,3,A = LH-intact pt   B = RH-intact pt,binC  word+face+house | object,0.1441616415606184,,,0.8794241151769646,12,12,,,,,,23.0,primary_strict
perm_ols,peak_z,3,A = LH-intact pt   B = RH-intact pt,cont  |LI| z>1.96,-2.920588285325838,,,0.505498900219956,12,12,,,,,,23.0,primary_strict
perm_ols,peak_z,3,A = LH-intact pt   B = RH-intact pt,cont  |LI| z>2.33,-3.0144385018094404,,,0.4627074585082983,12,12,,,,,,23.0,primary_strict
perm_ols,peak_z,3,A = LH-intact pt   B = RH-intact pt,rank  word>face>object=house,-0.2034805382912523,,,0.6326734653069386,12,12,,,,,,23.0,primary_strict
perm_ols,peak_z,3,A = LH-intact pt   B = RH-intact pt,sign  LI toward lost side z>2.33,-3.175498917457912,,,0.1147770445910817,12,12,,,,,,23.0,primary_strict
perm_ols,peak_z,3,A = LH-intact pt   B = RH-intact pt,"sign  LI toward lost side, thr-free",-2.5229492318695,,,0.1159768046390721,12,12,,,,,,23.0,primary_strict
lmm,peak_z,3,A = LH-intact pt   B = RH-intact pt,omnibus  category x group,,3.085208311536246,3,0.3786733992019436,12,12,0.2204663040764442,0.1176356000122871,2.2892437548196853,0.0141544371573345,True,23.0,
perm_ols,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],binA  word+face | house+object,0.9009974879598126,,,0.2593481303739252,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],binB  word | face+house+object,2.431337774088953,,,0.0013997200559888,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],binC  word+face+house | object,0.3243360455146167,,,0.7124575084983004,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],cont  |LI| z>1.96,8.22677336609299,,,0.0115976804639072,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],cont  |LI| z>2.33,7.962519111989278,,,0.006998600279944,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],rank  word>face>object=house,0.7055554583347516,,,0.0253949210157968,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],sign  LI toward lost side z>2.33,-4.626406631902535,,,0.0125974805038992,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],"sign  LI toward lost side, thr-free",-3.621843640515443,,,0.0147970405918816,36,12,,,,,,23.0,primary_strict
lmm,peak_z,4,A = RH ctrl        B = LH-intact pt  [crossed],omnibus  category x group,,8.007055548344931,3,0.0458661136069607,36,12,0.2642291112955361,0.0015911535756116,,,True,23.0,
perm_ols,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],binA  word+face | house+object,1.381300995328898,,,0.0447910417916416,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],binB  word | face+house+object,0.2069355829929451,,,0.7866426714657069,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],binC  word+face+house | object,1.8472871095121723,,,0.0225954809038192,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],cont  |LI| z>1.96,4.583893550249711,,,0.1569686062787442,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],cont  |LI| z>2.33,3.8973813923596263,,,0.1951609678064387,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],rank  word>face>object=house,0.4949229289417856,,,0.1045790841831633,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],sign  LI toward lost side z>2.33,-1.735489584120976,,,0.3187362527494501,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],"sign  LI toward lost side, thr-free",-1.4987729996915702,,,0.2791441711657668,36,12,,,,,,23.0,primary_strict
lmm,peak_z,5,A = LH ctrl        B = RH-intact pt  [crossed],omnibus  category x group,,6.7413887102574455,3,0.0806136994170393,36,12,0.2721637650485404,0.00042766556243,,,True,23.0,
perm_ols,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],binA  word+face | house+object,0.3601194556996168,,,0.2409518096380724,36,36,,,,,,23.0,primary_strict
perm_ols,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],binB  word | face+house+object,-0.4721436875150226,,,0.0361927614477104,36,36,,,,,,23.0,primary_strict
perm_ols,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],binC  word+face+house | object,0.5047970154946704,,,0.041991601679664,36,36,,,,,,23.0,primary_strict
perm_ols,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],cont  |LI| z>1.96,0.4901240384904146,,,0.5206958608278345,36,36,,,,,,23.0,primary_strict
perm_ols,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],cont  |LI| z>2.33,0.3830758065308459,,,0.5776844631073785,36,36,,,,,,23.0,primary_strict
perm_ols,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],rank  word>face>object=house,0.053180089454111,,,0.4419116176764647,36,36,,,,,,23.0,primary_strict
perm_ols,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],sign  LI toward lost side z>2.33,2.8848854819234773,,,0.0037992401519696,36,36,,,,,,23.0,primary_strict
perm_ols,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],"sign  LI toward lost side, thr-free",2.4131925782258885,,,0.0037992401519696,36,36,,,,,,23.0,primary_strict
lmm,peak_z,6,A = LH ctrl        B = RH ctrl       [paired],omnibus  category x group,,11.129604862449844,3,0.0110453044750783,36,36,0.2601722558696644,0.0013048379320495,,,True,23.0,
perm_ols,distinctiveness,1,A = LH ctrl        B = LH-intact pt,binA  word+face | house+object,0.1804631798413157,,,0.1083783243351329,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,1,A = LH ctrl        B = LH-intact pt,binB  word | face+house+object,0.0160309936680538,,,0.9098180363927214,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,1,A = LH ctrl        B = LH-intact pt,binC  word+face+house | object,0.0742176558423422,,,0.6134773045390922,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>1.96,0.5705907059682698,,,0.3205358928214357,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>2.33,0.4997937578122157,,,0.3489302139572086,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,1,A = LH ctrl        B = LH-intact pt,rank  word>face>object=house,0.0628262255584489,,,0.2455508898220356,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,1,A = LH ctrl        B = LH-intact pt,sign  LI toward lost side z>2.33,0.1098354782689595,,,0.6952609478104379,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,1,A = LH ctrl        B = LH-intact pt,"sign  LI toward lost side, thr-free",0.0955578613997179,,,0.6690661867626475,36,12,,,,,,23.0,primary_strict
lmm,distinctiveness,1,A = LH ctrl        B = LH-intact pt,omnibus  category x group,,3.569043784637327,3,0.3119171591974069,36,12,0.0060488971380531,0.4085980965589587,,,True,23.0,
perm_ols,distinctiveness,2,A = RH ctrl        B = RH-intact pt,binA  word+face | house+object,-0.1796216193040069,,,0.138372325534893,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,2,A = RH ctrl        B = RH-intact pt,binB  word | face+house+object,-0.244898057833768,,,0.0647870425914817,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,2,A = RH ctrl        B = RH-intact pt,binC  word+face+house | object,-0.1951499343732042,,,0.2199560087982403,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>1.96,-1.093914124463666,,,0.0677864427114577,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>2.33,-1.0176188847642795,,,0.0661867626474705,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,2,A = RH ctrl        B = RH-intact pt,rank  word>face>object=house,-0.1006902160736305,,,0.0811837632473505,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,2,A = RH ctrl        B = RH-intact pt,sign  LI toward lost side z>2.33,-0.2884664462432269,,,0.2411517696460708,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,2,A = RH ctrl        B = RH-intact pt,"sign  LI toward lost side, thr-free",-0.2142223719103236,,,0.2749450109978004,36,12,,,,,,23.0,primary_strict
lmm,distinctiveness,2,A = RH ctrl        B = RH-intact pt,omnibus  category x group,,3.857108933925265,3,0.2773129203453862,36,12,-0.0042120748698093,0.581201588345744,,,True,23.0,
perm_ols,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,binA  word+face | house+object,-0.0624530706737616,,,0.6712657468506299,12,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,binB  word | face+house+object,0.0275106112405469,,,0.8632273545290942,12,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,binC  word+face+house | object,0.0192486883460023,,,0.9244151169766048,12,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,cont  |LI| z>1.96,-0.1210044389966108,,,0.8668266346730654,12,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,cont  |LI| z>2.33,-0.100509715507955,,,0.8824235152969406,12,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,rank  word>face>object=house,-0.0162325883511621,,,0.8182363527294542,12,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,sign  LI toward lost side z>2.33,0.0723260530195923,,,0.8490301939612077,12,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,"sign  LI toward lost side, thr-free",0.0581655365059715,,,0.8508298340331933,12,12,,,,,,23.0,primary_strict
lmm,distinctiveness,3,A = LH-intact pt   B = RH-intact pt,omnibus  category x group,,0.5434802544020725,3,0.909240259499864,12,12,-0.0056443280555075,0.6474252097753368,-0.0313808625408733,0.7010341940639415,True,23.0,
perm_ols,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],binA  word+face | house+object,-0.1171685486302519,,,0.3445310937812437,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],binB  word | face+house+object,-0.2724086690743157,,,0.05498900219956,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],binC  word+face+house | object,-0.2143986227192028,,,0.1943611277744451,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],cont  |LI| z>1.96,-0.9729096854670584,,,0.1185762847430513,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],cont  |LI| z>2.33,-0.9171091692563276,,,0.1139772045590881,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],rank  word>face>object=house,-0.0844576277224685,,,0.153369326134773,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],sign  LI toward lost side z>2.33,0.3607924992628151,,,0.2019596080783843,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],"sign  LI toward lost side, thr-free",0.2723879084162888,,,0.2253549290141971,36,12,,,,,,23.0,primary_strict
lmm,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],omnibus  category x group,,4.713732426492549,3,0.1939999306275988,36,12,-0.0050216991012158,0.5033309269115043,,,True,23.0,
perm_ols,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],binA  word+face | house+object,0.1180101091675585,,,0.2901419716056788,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],binB  word | face+house+object,0.0435416049085993,,,0.728254349130174,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],binC  word+face+house | object,0.0934663441883408,,,0.4781043791241751,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],cont  |LI| z>1.96,0.4495862669716597,,,0.4277144571085783,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],cont  |LI| z>2.33,0.3992840423042622,,,0.4497100579884023,36,12,,,,,,23.0,primary_strict
