measure,model,role,paired,comparison,comparison_name,factor,chi2,df,p,age_beta,age_p,surg_beta,surg_p,group_var,n_a,n_b,n_obs,converged,warn,formula,age_cap
peak_z,primary,primary,False,1,A = LH ctrl        B = LH-intact pt,roi,5.567053184650181,3,0.1346826494043541,0.14923351502445442,0.05999545694753148,,,3.2687120993861285,36,12,192,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; is_categorical_dtype is deprec",y ~ C(f) * C(g) + age,23.0
peak_z,primary,primary,False,2,A = RH ctrl        B = RH-intact pt,roi,3.267107540724393,3,0.3522469625677452,0.3059964033575735,0.00021055976412938919,,,3.37696737760373,36,12,192,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; is_categorical_dtype is deprec",y ~ C(f) * C(g) + age,23.0
peak_z,primary,primary,False,3,A = LH-intact pt   B = RH-intact pt,roi,3.3367039923852997,3,0.34256671635622976,0.22663788607255525,0.11141347308439976,2.17872328383544,0.02085339393638266,3.8434148305006337,12,12,96,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; is_categorical_dtype is deprec",y ~ C(f) * C(g) + age + C(surg),23.0
peak_z,primary,supplemental,False,4,A = RH ctrl        B = LH-intact pt  [crossed],roi,6.7150543373929965,3,0.0815563930682079,0.22121621257934718,0.009900189487943512,,,3.865786295516971,36,12,192,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; is_categorical_dtype is deprec",y ~ C(f) * C(g) + age,23.0
peak_z,primary,supplemental,False,5,A = LH ctrl        B = RH-intact pt  [crossed],roi,7.116011141539424,3,0.06829060144465608,0.2327067399765147,0.0026888168228788663,,,2.9677771079545483,36,12,192,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; is_categorical_dtype is deprec",y ~ C(f) * C(g) + age,23.0
peak_z,primary,supplemental,True,6,A = LH ctrl        B = RH ctrl       [paired],roi,8.938627004965307,3,0.030118101406575726,0.2089904769568868,0.011695814047667476,,,3.2775794171752417,36,36,288,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; is_categorical_dtype is deprec",y ~ C(f) * C(g) + age,23.0
distinctiveness,primary,primary,False,1,A = LH ctrl        B = LH-intact pt,roi,4.027441692328106,3,0.2585161289345615,0.004473721237131539,0.5594368090419438,,,0.007521245641305384,35,12,188,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; The MLE may be on the boundary",y ~ C(f) * C(g) + age,23.0
distinctiveness,primary,primary,False,2,A = RH ctrl        B = RH-intact pt,roi,3.2072586897122712,3,0.3607604751188069,-0.002918476701599517,0.7063050518487962,,,0.005211555480466248,35,12,188,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; The MLE may be on the boundary",y ~ C(f) * C(g) + age,23.0
distinctiveness,primary,primary,False,3,A = LH-intact pt   B = RH-intact pt,roi,0.48944755402944795,3,0.921203546189574,-0.0064999193942987775,0.5987481290933461,-0.024690030126927342,0.7628050698666594,0.0009994495601006721,12,12,96,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; Maximum Likelihood optimizatio",y ~ C(f) * C(g) + age + C(surg),23.0
distinctiveness,primary,supplemental,False,4,A = RH ctrl        B = LH-intact pt  [crossed],roi,4.196203413598486,3,0.2410422704517852,-0.0035079214598268465,0.6487770839217275,,,0.0014726059308149237,35,12,188,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; The MLE may be on the boundary",y ~ C(f) * C(g) + age,23.0
distinctiveness,primary,supplemental,False,5,A = LH ctrl        B = RH-intact pt  [crossed],roi,2.213980647277347,3,0.5291998720982247,0.005218787307195382,0.49744183233078776,,,0.011105230879030866,35,12,188,True,"Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future; is_categorical_dtype is deprec",y ~ C(f) * C(g) + age,23.0
