test,measure,comparison,comparison_name,spec,estimate,stat,df,p,n_group_a,n_group_b,age_beta,age_p,surg_beta,surg_p,converged,age_cap,roi_set
perm_ols,peak_z,1,A = LH ctrl        B = LH-intact pt,binA  word+face | house+object,1.372325368232599,,,0.0297940411917616,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,1,A = LH ctrl        B = LH-intact pt,binB  word | face+house+object,1.537147166780305,,,0.0473905218956208,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,1,A = LH ctrl        B = LH-intact pt,binC  word+face+house | object,1.5598603524329446,,,0.0311937612477504,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>1.96,7.595061256248524,,,0.0085982803439312,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>2.33,6.992296432957486,,,0.0097980403919216,36,12,,,,,,23.0,primary_strict
lmm,peak_z,1,A = LH ctrl        B = LH-intact pt,omnibus  category x group,,5.567053184650181,3,0.1346826494043541,36,12,0.1492335150244544,0.0599954569475314,,,True,23.0,
perm_ols,peak_z,2,A = RH ctrl        B = RH-intact pt,binA  word+face | house+object,1.2642236344971,,,0.1193761247750449,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,2,A = RH ctrl        B = RH-intact pt,binB  word | face+house+object,0.748952072243966,,,0.3611277744451109,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,2,A = RH ctrl        B = RH-intact pt,binC  word+face+house | object,0.3475443240764473,,,0.6788642271545691,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>1.96,5.4504314688468805,,,0.1151769646070785,36,12,,,,,,23.0,primary_strict
perm_ols,peak_z,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>2.33,4.997072970747234,,,0.1175764847030593,36,12,,,,,,23.0,primary_strict
lmm,peak_z,2,A = RH ctrl        B = RH-intact pt,omnibus  category x group,,3.267107540724393,3,0.3522469625677452,36,12,0.3059964033575735,0.0002105597641293,,,True,23.0,
perm_ols,peak_z,3,A = LH-intact pt   B = RH-intact pt,binA  word+face | house+object,0.1336888621999783,,,0.8902219556088782,12,12,,,,,,23.0,primary_strict
perm_ols,peak_z,3,A = LH-intact pt   B = RH-intact pt,binB  word | face+house+object,-1.3940567066780716,,,0.1887622475504899,12,12,,,,,,23.0,primary_strict
perm_ols,peak_z,3,A = LH-intact pt   B = RH-intact pt,binC  word+face+house | object,0.1428774369221024,,,0.8820235952809438,12,12,,,,,,23.0,primary_strict
perm_ols,peak_z,3,A = LH-intact pt   B = RH-intact pt,cont  |LI| z>1.96,-2.791886091146324,,,0.5226954609078185,12,12,,,,,,23.0,primary_strict
perm_ols,peak_z,3,A = LH-intact pt   B = RH-intact pt,cont  |LI| z>2.33,-2.9046319421155893,,,0.4723055388922215,12,12,,,,,,23.0,primary_strict
